name	id	type	tf	target	essential	developmental	human.ortholog	tumor.suppressor	proapoptotic	blood_cancer	breast_cancer	colorectal_cancer	gastric_cancer	liver_cancer	lung_cancer	nervous_system_cancer	pancreatic_cancer	prostate_cancer	sarcoma	skin_cancer
Cops5	ENSMUSG00000025917.9	protein_coding	T	T	T	F	COPS5	F	F	F	F	F	F	F	F	F	F	F	F	F
Cspp1	ENSMUSG00000056763.16	protein_coding	F	F	F	F	CSPP1	F	F	T	F	T	F	F	F	F	T	F	F	F
Arfgef1	ENSMUSG00000067851.11	protein_coding	F	F	F	F	ARFGEF1	F	F	T	F	F	T	F	T	F	T	F	T	F
Cpa6	ENSMUSG00000042501.12	protein_coding	F	F	F	F	CPA6	F	F	F	F	F	F	T	F	F	F	F	F	F
Prex2	ENSMUSG00000048960.13	protein_coding	F	F	F	F	PREX2	F	F	F	F	F	F	F	F	T	F	F	F	F
A830018L16Rik	ENSMUSG00000057715.13	protein_coding	F	F	F	F	C8orf34	F	F	F	F	F	F	T	F	F	F	F	F	F
Sulf1	ENSMUSG00000016918.15	protein_coding	F	F	T	T	SULF1	F	F	F	F	F	F	F	F	F	F	F	F	F
Slco5a1	ENSMUSG00000025938.16	protein_coding	F	F	F	F	SLCO5A1	F	F	F	F	F	F	F	F	F	F	F	F	F
Prdm14	ENSMUSG00000042414.7	protein_coding	F	F	T	T	PRDM14	F	F	F	F	F	F	F	F	F	F	F	F	F
Ncoa2	ENSMUSG00000005886.14	protein_coding	T	T	F	T	NCOA2	F	F	T	F	T	T	T	F	F	F	F	F	F
Tram1	ENSMUSG00000025935.10	protein_coding	F	F	F	F	TRAM1	F	F	T	F	F	F	F	F	F	F	F	F	F
Lactb2	ENSMUSG00000025937.6	protein_coding	F	T	T	F	LACTB2	F	F	F	F	F	F	F	F	F	F	F	F	F
Xkr9	ENSMUSG00000067813.3	protein_coding	F	F	F	F	XKR9	F	F	F	F	F	F	F	F	F	F	F	F	F
Eya1	ENSMUSG00000025932.14	protein_coding	T	T	T	T	EYA1	F	F	F	F	F	F	F	F	F	F	F	F	F
Msc	ENSMUSG00000025930.6	protein_coding	T	F	F	F	MSC	F	F	F	F	F	F	F	F	F	F	F	F	F
Trpa1	ENSMUSG00000032769.4	protein_coding	F	F	F	F	TRPA1	F	F	F	F	F	F	F	F	F	F	F	F	F
Kcnb2	ENSMUSG00000092083.4	protein_coding	F	F	F	F		F	F	F	F	F	F	F	F	F	F	F	F	F
Terf1	ENSMUSG00000025925.14	protein_coding	F	F	T	F	TERF1	F	F	T	F	F	F	F	F	F	F	F	F	F
Sbspon	ENSMUSG00000032719.4	protein_coding	F	F	F	F	SBSPON	F	F	F	F	F	F	F	F	F	F	F	F	F
4930444P10Rik	ENSMUSG00000067795.13	protein_coding	F	F	F	F	C8orf89	F	F	F	F	F	F	T	F	F	F	F	F	F
Rpl7	ENSMUSG00000043716.13	protein_coding	F	F	F	F		F	F	F	F	F	F	F	F	F	F	F	F	F
Rdh10	ENSMUSG00000025921.7	protein_coding	F	F	T	T	RDH10	F	F	F	F	F	F	F	F	F	F	F	F	F
Stau2	ENSMUSG00000025920.19	protein_coding	F	F	F	F	STAU2	F	F	T	F	F	F	F	F	F	F	F	F	F
Ube2w	ENSMUSG00000025939.17	protein_coding	F	F	F	F	AC022826.2	F	F	T	F	F	F	F	F	F	F	F	F	F
Tceb1	ENSMUSG00000079658.9	protein_coding	F	F	F	F		F	F	T	F	F	F	F	F	F	F	F	T	F
Tmem70	ENSMUSG00000025940.6	protein_coding	F	F	F	F	TMEM70	F	F	T	F	F	F	F	F	F	F	F	F	F
Ly96	ENSMUSG00000025779.10	protein_coding	F	F	F	F	LY96	F	F	F	F	F	F	F	F	F	F	F	F	F
Jph1	ENSMUSG00000042686.5	protein_coding	F	F	T	T	JPH1	F	F	F	F	F	F	F	F	F	F	F	F	F
Gdap1	ENSMUSG00000025777.8	protein_coding	F	F	F	F	GDAP1	F	F	F	F	F	F	F	F	F	F	F	F	F
Pi15	ENSMUSG00000067780.3	protein_coding	F	F	F	F	PI15	F	F	F	F	F	F	F	F	F	F	F	F	F
Crispld1	ENSMUSG00000025776.13	protein_coding	F	F	F	F	CRISPLD1	F	F	F	F	F	F	F	F	F	F	F	F	F
Crisp4	ENSMUSG00000025774.14	protein_coding	F	F	F	F	CRISP1	F	F	F	F	F	F	F	F	F	F	F	F	F
Defb41	ENSMUSG00000067773.6	protein_coding	F	F	F	F	DEFB110	F	F	F	F	F	F	F	F	F	F	F	F	F
Tfap2d	ENSMUSG00000042596.7	protein_coding	T	F	F	F	TFAP2D	F	F	F	F	F	F	F	F	F	F	F	F	F
Tfap2b	ENSMUSG00000025927.13	protein_coding	T	F	F	F	TFAP2B	F	F	F	F	F	F	F	F	F	F	F	F	F
Pkhd1	ENSMUSG00000043760.16	protein_coding	F	T	T	F	PKHD1	F	F	F	F	F	F	T	F	F	F	F	F	F
Il17f	ENSMUSG00000041872.9	protein_coding	F	T	F	T	IL17F	F	F	F	F	F	F	F	F	F	F	F	F	F
Mcm3	ENSMUSG00000041859.10	protein_coding	T	T	T	F	MCM3	F	F	F	F	F	F	F	F	F	F	F	F	F
Paqr8	ENSMUSG00000025931.15	protein_coding	F	F	F	T	PAQR8	F	F	F	F	F	F	F	F	F	F	F	F	F
Efhc1	ENSMUSG00000041809.5	protein_coding	F	F	F	F	EFHC1	F	F	F	F	F	F	F	F	F	F	F	F	F
Tram2	ENSMUSG00000041779.5	protein_coding	F	F	F	F	TRAM2	F	F	F	F	F	F	F	F	F	F	F	F	F
Tmem14a	ENSMUSG00000025933.15	protein_coding	F	F	F	F	TMEM14A	F	F	F	F	F	F	F	F	F	F	F	F	F
Gsta3	ENSMUSG00000025934.15	protein_coding	F	T	F	T	GSTA5	F	F	F	F	F	F	F	F	F	F	F	F	F
Kcnq5	ENSMUSG00000028033.16	protein_coding	F	F	T	F	KCNQ5	F	F	T	F	F	F	F	F	F	F	F	F	F
Rims1	ENSMUSG00000041670.15	protein_coding	F	F	T	F	RIMS1	F	F	F	F	F	F	F	F	T	F	F	F	F
Ogfrl1	ENSMUSG00000026158.11	protein_coding	F	F	F	F	OGFRL1	F	F	F	F	F	F	F	F	F	F	F	F	F
B3gat2	ENSMUSG00000026156.8	protein_coding	F	F	F	F	B3GAT2	F	F	F	F	F	F	T	F	F	F	F	F	F
Smap1	ENSMUSG00000026155.13	protein_coding	F	F	F	F	SMAP1	F	F	F	F	F	T	T	F	F	F	F	F	F
Sdhaf4	ENSMUSG00000026154.4	protein_coding	F	F	F	F	SDHAF4	F	F	F	F	F	F	F	F	F	F	F	F	F
Fam135a	ENSMUSG00000026153.15	protein_coding	F	F	F	F	FAM135A	F	F	F	F	T	T	F	F	F	F	F	F	F
Col9a1	ENSMUSG00000026147.16	protein_coding	F	F	F	T	COL9A1	F	F	F	F	F	F	F	F	F	F	F	F	F
Col19a1	ENSMUSG00000026141.13	protein_coding	F	F	T	T	COL19A1	F	F	F	F	F	F	F	F	F	F	F	F	F
Lmbrd1	ENSMUSG00000073725.8	protein_coding	F	F	T	F	LMBRD1	F	F	F	F	F	F	F	F	F	F	F	F	F
Adgrb3	ENSMUSG00000033569.17	protein_coding	F	F	F	F	ADGRB3	F	F	F	F	F	F	F	F	F	F	F	F	F
Phf3	ENSMUSG00000048874.15	protein_coding	F	F	F	F	PHF3	F	F	T	F	T	T	F	F	F	F	F	F	F
Ptp4a1	ENSMUSG00000026064.15	protein_coding	F	F	F	T	PTP4A1	F	F	F	F	F	F	F	F	F	F	F	F	F
4931428L18Rik	ENSMUSG00000086727.7	protein_coding	F	F	F	F	ALYREF	F	F	F	F	F	F	F	F	F	F	F	F	F
Lgsn	ENSMUSG00000050217.13	protein_coding	F	F	F	F	LGSN	F	F	F	F	F	F	F	F	F	F	F	F	F
Khdrbs2	ENSMUSG00000026058.11	protein_coding	F	F	F	F	KHDRBS2	F	F	F	F	F	F	F	F	F	F	F	F	F
Gm5415	ENSMUSG00000091318.2	protein_coding	F	F	F	F	SENP2	F	F	F	F	F	F	F	F	F	F	F	F	F
Prim2	ENSMUSG00000026134.11	protein_coding	F	F	F	F	PRIM2	F	F	F	F	F	F	F	F	F	T	F	F	F
Rab23	ENSMUSG00000004768.14	protein_coding	F	F	T	T	RAB23	F	F	F	F	F	F	F	F	F	F	F	F	F
Bag2	ENSMUSG00000042215.8	protein_coding	F	F	F	F	BAG2	F	F	F	F	F	F	F	F	F	F	F	F	F
Zfp451	ENSMUSG00000042197.13	protein_coding	F	F	F	F	ZNF451	F	F	T	F	F	T	F	F	F	F	F	F	F
Bend6	ENSMUSG00000042182.16	protein_coding	F	F	F	F	BEND6	F	F	F	F	F	F	F	F	F	F	F	F	F
Dst	ENSMUSG00000026131.18	protein_coding	F	F	T	F	DST	F	F	F	F	F	F	F	F	T	F	F	T	F
Ccdc115	ENSMUSG00000042111.9	protein_coding	F	F	F	F	CCDC115	F	F	F	F	F	F	F	F	F	F	F	F	F
Imp4	ENSMUSG00000026127.13	protein_coding	F	F	F	F	IMP4	F	F	F	F	F	F	F	F	F	F	F	F	F
Ptpn18	ENSMUSG00000026126.15	protein_coding	F	F	F	F	PTPN18	F	F	F	F	F	F	F	F	F	F	F	F	F
Cfc1	ENSMUSG00000026124.4	protein_coding	F	F	T	T	CFC1	F	F	F	F	F	F	F	F	F	F	F	F	F
Prss40	ENSMUSG00000037529.13	protein_coding	F	F	F	F		F	F	F	F	F	F	F	F	F	F	F	F	F
Amer3	ENSMUSG00000045174.10	protein_coding	F	F	F	F	AMER3	F	F	F	F	F	F	F	F	F	F	F	F	F
Arhgef4	ENSMUSG00000037509.19	protein_coding	F	F	F	F	ARHGEF4	F	F	F	F	T	F	F	F	F	F	F	F	F
Fam168b	ENSMUSG00000037503.12	protein_coding	F	F	F	F	FAM168B	F	F	T	F	T	T	F	F	T	F	F	F	F
Plekhb2	ENSMUSG00000026123.11	protein_coding	F	F	F	F	PLEKHB2	F	F	T	F	T	F	F	F	T	F	F	F	F
Hs6st1	ENSMUSG00000045216.7	protein_coding	F	F	T	T	HS6ST1	F	F	F	F	T	F	F	F	F	F	F	F	F
Uggt1	ENSMUSG00000037470.14	protein_coding	F	F	F	F	UGGT1	F	F	T	F	F	T	F	F	F	F	F	F	F
Neurl3	ENSMUSG00000047180.8	protein_coding	F	F	F	F	NEURL3	F	F	F	F	F	F	F	F	F	F	F	F	F
Arid5a	ENSMUSG00000037447.16	protein_coding	F	F	F	F	ARID5A	F	F	F	F	F	F	F	F	F	F	F	F	F
Kansl3	ENSMUSG00000010453.12	protein_coding	F	F	F	F	KANSL3	F	F	T	F	T	F	F	F	F	F	F	F	F
Fer1l5	ENSMUSG00000037432.15	protein_coding	F	F	F	F	FER1L5	F	F	F	F	F	F	T	F	F	F	F	F	F
Lman2l	ENSMUSG00000001143.13	protein_coding	F	F	F	F	LMAN2L	F	F	F	F	F	F	F	F	F	F	F	F	F
Cnnm4	ENSMUSG00000037408.10	protein_coding	F	F	F	T	CNNM4	F	F	T	F	T	F	F	F	F	F	F	F	F
Cnnm3	ENSMUSG00000001138.13	protein_coding	F	F	F	F	CNNM3	F	F	T	F	F	F	F	F	F	F	F	F	F
Ankrd23	ENSMUSG00000067653.12	protein_coding	F	F	F	F	ANKRD23	F	F	F	F	F	F	F	F	F	F	F	F	F
Ankrd39	ENSMUSG00000079610.9	protein_coding	F	F	F	F	ANKRD39	F	F	F	F	F	F	F	F	F	F	F	F	F
Sema4c	ENSMUSG00000026121.13	protein_coding	F	F	T	T	SEMA4C	F	F	F	F	F	F	F	F	F	F	F	F	F
Fam178b	ENSMUSG00000046337.17	protein_coding	F	F	F	F	FAM178B	F	F	T	F	F	F	F	F	F	F	F	F	F
Cox5b	ENSMUSG00000061518.10	protein_coding	F	T	T	F	COX5B	F	F	F	F	F	F	F	F	F	F	F	F	F
Actr1b	ENSMUSG00000037351.9	protein_coding	F	F	F	F	ACTR1B	F	F	T	F	F	F	F	F	F	F	F	F	F
4933424G06Rik	ENSMUSG00000102416.4	protein_coding	F	F	F	F	C2orf92	F	F	F	F	F	F	F	F	F	F	F	F	F
Zap70	ENSMUSG00000026117.10	protein_coding	F	F	F	T	ZAP70	F	F	F	F	F	F	F	F	F	F	F	F	F
Tmem131	ENSMUSG00000026116.11	protein_coding	F	F	F	F	TMEM131	F	F	T	T	T	T	F	F	F	F	F	F	F
Vwa3b	ENSMUSG00000050122.18	protein_coding	F	F	F	F	VWA3B	F	F	F	F	F	F	F	F	F	F	F	F	F
Cnga3	ENSMUSG00000026114.14	protein_coding	F	F	F	F	CNGA3	F	F	F	F	F	F	F	F	F	F	F	F	F
Inpp4a	ENSMUSG00000026113.17	protein_coding	F	F	T	F	INPP4A	F	F	F	F	F	F	F	F	F	F	F	F	F
Coa5	ENSMUSG00000026112.7	protein_coding	F	F	F	F	COA5	F	F	F	F	F	F	F	F	F	F	F	F	F
Unc50	ENSMUSG00000026111.15	protein_coding	F	F	F	F	UNC50	F	F	F	F	F	F	F	F	F	F	F	F	F
Mgat4a	ENSMUSG00000026110.15	protein_coding	F	F	F	F	MGAT4A	F	F	T	F	T	F	F	F	F	F	F	F	F
2010300C02Rik	ENSMUSG00000026090.16	protein_coding	F	F	F	F	KIAA1211L	F	F	F	F	F	F	F	F	F	F	F	F	F
Tsga10	ENSMUSG00000060771.14	protein_coding	F	F	F	F	TSGA10	F	F	T	F	F	F	F	F	F	F	F	F	F
Lipt1	ENSMUSG00000037216.5	protein_coding	F	F	F	F	LIPT1	F	F	T	F	F	F	F	F	F	F	F	F	F
Mitd1	ENSMUSG00000026088.15	protein_coding	F	F	F	F	MITD1	F	F	T	F	F	F	F	F	F	F	F	F	F
Mrpl30	ENSMUSG00000026087.11	protein_coding	F	F	F	F	AC079447.1	F	F	F	F	F	T	F	F	F	F	F	F	F
Lyg2	ENSMUSG00000061584.6	protein_coding	F	F	F	F	LYG2	F	F	F	F	F	F	F	F	F	F	F	F	F
Txndc9	ENSMUSG00000058407.12	protein_coding	F	F	F	F	TXNDC9	F	F	F	F	F	F	F	F	F	F	F	F	F
Eif5b	ENSMUSG00000026083.12	protein_coding	F	F	F	F	EIF5B	F	F	T	F	F	F	T	F	F	F	F	T	F
Rev1	ENSMUSG00000026082.11	protein_coding	F	F	T	F	REV1	F	F	T	F	F	T	T	F	T	F	F	F	F
Aff3	ENSMUSG00000037138.17	protein_coding	F	F	F	F	AFF3	F	F	T	F	T	F	F	F	F	F	F	F	F
Lonrf2	ENSMUSG00000048814.10	protein_coding	F	F	F	F	LONRF2	F	F	F	F	F	F	F	F	F	F	F	F	F
Chst10	ENSMUSG00000026080.13	protein_coding	F	F	F	F	CHST10	T	F	F	F	F	F	F	F	F	F	F	F	F
Nms	ENSMUSG00000067604.8	protein_coding	F	F	F	F	NMS	F	F	F	F	F	F	F	F	F	F	F	F	F
Pdcl3	ENSMUSG00000026078.10	protein_coding	F	F	F	F	PDCL3	F	F	F	F	F	F	F	F	F	F	F	F	F
Npas2	ENSMUSG00000026077.15	protein_coding	T	T	F	F	NPAS2	T	F	F	F	F	F	F	F	F	F	F	F	F
Rpl31	ENSMUSG00000073702.11	protein_coding	F	F	F	F		F	F	F	F	F	F	F	F	F	F	F	F	F
Tbc1d8	ENSMUSG00000003134.10	protein_coding	F	F	F	F	TBC1D8	F	F	F	F	F	F	F	F	F	F	F	F	F
Cnot11	ENSMUSG00000003135.15	protein_coding	F	F	F	F	CNOT11	F	F	T	F	F	F	F	F	F	F	F	F	F
Rnf149	ENSMUSG00000048234.13	protein_coding	F	F	F	F	RNF149	F	F	T	F	T	F	F	F	F	F	F	F	F
Creg2	ENSMUSG00000050967.5	protein_coding	F	F	F	F	CREG2	F	F	F	F	F	F	F	F	F	F	F	F	F
Rfx8	ENSMUSG00000057173.8	protein_coding	F	F	F	F	RFX8	F	F	F	F	F	F	F	F	F	F	F	F	F
Map4k4	ENSMUSG00000026074.14	protein_coding	F	F	T	F	MAP4K4	F	F	F	F	T	F	F	F	T	F	F	F	F
Il1r2	ENSMUSG00000026073.13	protein_coding	F	T	F	F	IL1R2	F	F	F	F	F	F	F	F	F	F	F	F	F
Il1r1	ENSMUSG00000026072.12	protein_coding	F	T	F	F	IL1R1	F	F	F	F	F	F	F	F	F	F	F	F	F
Il1rl2	ENSMUSG00000070942.8	protein_coding	F	F	F	F	IL1RL2	F	F	F	F	F	F	F	F	F	F	F	F	F
Il1rl1	ENSMUSG00000026069.15	protein_coding	F	T	F	F	IL1RL1	F	F	F	F	F	F	F	F	F	F	F	F	F
Il18r1	ENSMUSG00000026070.15	protein_coding	F	T	F	F	IL18R1	F	F	F	F	F	F	F	F	F	F	F	F	F
Il18rap	ENSMUSG00000026068.11	protein_coding	F	T	F	F	IL18RAP	F	F	F	F	F	F	F	F	F	F	F	F	F
Slc9a4	ENSMUSG00000026065.8	protein_coding	F	F	F	F	SLC9A4	F	F	F	F	F	F	F	F	F	F	F	F	F
Slc9a2	ENSMUSG00000026062.12	protein_coding	F	T	F	F	SLC9A2	F	F	F	F	F	F	F	F	F	F	F	F	F
Mfsd9	ENSMUSG00000041945.12	protein_coding	F	F	F	F	MFSD9	F	F	F	F	F	F	F	F	F	F	F	F	F
Tmem182	ENSMUSG00000079588.3	protein_coding	F	F	F	F	TMEM182	F	F	F	F	F	F	F	F	F	F	F	F	F
Pou3f3	ENSMUSG00000045515.3	protein_coding	T	T	T	T	POU3F3	F	F	F	F	F	F	F	F	F	F	F	F	F
Mrps9	ENSMUSG00000060679.14	protein_coding	F	F	F	F	MRPS9	F	F	F	F	F	F	F	F	F	F	F	F	F
Gpr45	ENSMUSG00000041907.9	protein_coding	F	F	F	F	GPR45	F	F	F	F	F	F	F	F	F	F	F	F	F
Tgfbrap1	ENSMUSG00000070939.9	protein_coding	F	F	F	F	TGFBRAP1	F	F	F	F	F	F	F	F	T	F	F	F	F
AI597479	ENSMUSG00000010290.7	protein_coding	F	F	F	F	C2orf49	F	F	F	F	F	F	F	F	F	F	F	F	F
Fhl2	ENSMUSG00000008136.14	protein_coding	T	F	F	T	FHL2	F	F	F	F	T	F	T	F	F	F	F	F	F
Nck2	ENSMUSG00000066877.11	protein_coding	F	T	F	F	NCK2	F	F	F	F	T	F	F	F	F	F	F	F	F
1500015O10Rik	ENSMUSG00000026051.8	protein_coding	F	F	F	F		F	F	F	F	F	F	F	F	F	F	F	F	F
Uxs1	ENSMUSG00000057363.12	protein_coding	F	F	T	F	UXS1	F	F	F	F	F	F	F	F	F	F	F	F	T
Tpp2	ENSMUSG00000041763.14	protein_coding	F	F	T	F	TPP2	F	F	T	F	T	T	T	F	F	F	F	F	F
Mettl21c	ENSMUSG00000047343.4	protein_coding	F	F	F	F	METTL21C	F	F	T	F	F	F	F	F	F	F	F	F	F
Gm8251	ENSMUSG00000091844.1	protein_coding	F	F	F	F	CCDC168	F	F	F	F	F	F	F	F	F	F	F	F	F
Tex30	ENSMUSG00000026049.11	protein_coding	F	F	F	F	TEX30	F	F	F	F	F	F	F	F	F	F	F	F	F
Kdelc1	ENSMUSG00000026047.13	protein_coding	F	F	F	F		F	F	F	F	F	F	F	F	F	F	F	F	F
Bivm	ENSMUSG00000041684.11	protein_coding	F	F	F	F	BIVM	F	F	F	F	F	F	F	F	F	F	F	F	F
Ercc5	ENSMUSG00000026048.16	protein_coding	F	F	T	T	ERCC5	F	F	F	F	F	F	F	F	F	F	F	F	F
Gulp1	ENSMUSG00000056870.9	protein_coding	F	F	F	F	GULP1	F	F	F	F	F	F	F	F	T	F	F	F	F
Col3a1	ENSMUSG00000026043.18	protein_coding	F	T	T	T	COL3A1	F	F	F	F	F	F	F	F	F	F	F	F	F
Col5a2	ENSMUSG00000026042.16	protein_coding	F	T	T	T	COL5A2	F	F	F	F	F	F	F	F	T	F	F	F	F
Wdr75	ENSMUSG00000025995.16	protein_coding	F	F	F	F	WDR75	F	F	F	F	F	F	F	F	F	F	F	F	F
Slc40a1	ENSMUSG00000025993.10	protein_coding	F	T	T	F	SLC40A1	F	F	F	F	F	F	F	F	F	F	F	F	F
Dnah7b	ENSMUSG00000041144.10	protein_coding	F	F	F	F	DNAH7	F	F	F	F	F	F	F	F	F	F	F	F	F
Dnah7c	ENSMUSG00000101337.6	protein_coding	F	F	F	F	DNAH7	F	F	F	F	F	F	F	F	F	F	F	F	F
Slc39a10	ENSMUSG00000025986.6	protein_coding	F	T	F	F	SLC39A10	F	F	F	F	F	F	F	F	F	T	F	F	F
Tmeff2	ENSMUSG00000026109.14	protein_coding	F	F	T	F	TMEFF2	T	F	F	F	F	F	F	F	F	F	F	F	F
Sdpr	ENSMUSG00000045954.7	protein_coding	F	F	F	F		F	F	F	F	F	F	F	F	F	F	F	F	F
Nabp1	ENSMUSG00000026107.11	protein_coding	F	F	F	F	NABP1	F	F	F	F	F	F	F	F	F	F	F	F	F
Myo1b	ENSMUSG00000018417.14	protein_coding	F	F	F	F	MYO1B	F	F	F	F	F	T	T	F	F	F	F	F	F
Stat4	ENSMUSG00000062939.11	protein_coding	T	F	F	F	STAT4	F	F	T	F	F	F	F	F	F	F	F	F	F
Stat1	ENSMUSG00000026104.14	protein_coding	T	T	T	F	STAT1	T	F	F	F	F	F	F	F	F	F	F	F	F
Gls	ENSMUSG00000026103.14	protein_coding	F	T	T	F	GLS	F	F	T	F	T	F	F	F	F	T	F	F	F
Nab1	ENSMUSG00000002881.14	protein_coding	T	T	F	T	NAB1	F	F	F	F	F	F	F	F	F	F	F	F	F
Nemp2	ENSMUSG00000043015.15	protein_coding	F	F	F	F	NEMP2	F	F	F	F	F	F	F	F	F	F	F	F	F
Mfsd6	ENSMUSG00000041439.15	protein_coding	F	F	F	F	MFSD6	F	F	T	F	F	F	F	F	F	F	F	F	F
Inpp1	ENSMUSG00000026102.9	protein_coding	F	F	F	F	INPP1	F	F	F	F	F	F	F	F	F	F	F	F	F
Hibch	ENSMUSG00000041426.12	protein_coding	F	F	F	F	HIBCH	F	F	F	F	F	F	F	F	F	F	F	F	F
1700019D03Rik	ENSMUSG00000043629.12	protein_coding	F	F	F	F	C2orf88	F	F	F	F	F	F	F	F	F	F	F	F	F
Mstn	ENSMUSG00000026100.6	protein_coding	F	T	F	F	MSTN	F	F	F	F	F	F	F	F	F	F	F	F	F
1700019A02Rik	ENSMUSG00000060715.9	protein_coding	F	F	F	F		F	F	F	F	F	F	F	F	F	F	F	F	F
Pms1	ENSMUSG00000026098.13	protein_coding	F	F	F	F	PMS1	F	F	F	F	F	F	F	F	F	F	F	F	F
Ormdl1	ENSMUSG00000026097.9	protein_coding	F	F	F	F		F	F	T	F	F	F	F	F	F	F	F	F	F
Gm28778	ENSMUSG00000100679.1	protein_coding	F	F	F	F	ORMDL1	F	F	F	F	F	F	F	F	F	F	F	F	F
Osgepl1	ENSMUSG00000026096.14	protein_coding	F	F	F	F	OSGEPL1	F	F	F	F	F	F	F	F	F	F	F	F	F
Gm28551	ENSMUSG00000099913.1	protein_coding	F	F	F	F	AC012488.2	F	F	F	F	F	F	F	F	F	F	F	F	F
Asnsd1	ENSMUSG00000026095.15	protein_coding	F	F	F	F	AC012488.2	F	F	F	F	F	F	F	F	F	F	F	F	F
Dnah7a	ENSMUSG00000096141.2	protein_coding	F	F	F	F	DNAH7	F	F	F	F	F	F	F	F	F	F	F	F	F
Stk17b	ENSMUSG00000026094.14	protein_coding	F	F	F	F	STK17B	F	F	T	F	F	F	F	F	F	F	F	F	F
Hecw2	ENSMUSG00000042807.15	protein_coding	F	F	T	F	HECW2	F	F	F	F	F	F	T	F	F	F	F	F	F
Ccdc150	ENSMUSG00000025983.11	protein_coding	F	F	F	F	CCDC150	F	F	F	F	F	F	F	F	F	F	F	F	F
Gtf3c3	ENSMUSG00000041303.7	protein_coding	F	F	F	F	GTF3C3	F	F	F	F	F	F	F	F	F	F	F	F	F
Pgap1	ENSMUSG00000073678.4	protein_coding	F	F	T	T	PGAP1	F	F	F	F	F	F	F	F	F	F	F	F	F
Ankrd44	ENSMUSG00000052331.14	protein_coding	F	F	F	F	ANKRD44	F	F	T	F	F	F	F	F	F	F	F	F	F
