from	to	type
CHEMBL1255588	Htr1a	antagonist
CUDC-101	Hdac3	inhibitor
OXATOMIDE	Hrh1	antagonist
BRENTUXIMAB VEDOTIN	Tubb2b	inhibitor
INDISULAM	Car12	inhibitor
TG-02	Cdk7	inhibitor
GADOBENATE DIMEGLUMINE	Trpm7	activator
ILOPERIDONE	Drd2	antagonist
AMBRISENTAN	Ednra	antagonist
NV-128	mt-Nd2	inhibitor
FLUFENAMIC ACID	Trpm2	channel_blocker
HYDROXYPROGESTERONE CAPROATE	Ccr4	agonist
ERGOTAMINE TARTRATE	Adra1b	agonist
CHEMBL375293	Adora3	antagonist
MACITENTAN	Ednra	antagonist
METFORMIN	Mtor	inhibitor
PHENYLEPHRINE BITARTRATE	Adra1a	agonist
WORTMANNIN	Crhr2	antagonist
MOTESANIB	Kdr	inhibitor
METHADONE	Oprm1	agonist
VAPREOTIDE	Sstr2	agonist
SB-649868	Hcrtr1	antagonist
SEMAGACESTAT	Psen1	inhibitor
CHEMBL49247	Htr1a	agonist
CHEMBL136689	Adora1	antagonist
TERGURIDE	Htr1b	agonist
CHEMBL76273	Adora2a	antagonist
APITOLISIB	Pik3c2g	inhibitor
MK-2206	Akt1	allosteric_modulator
VANDETANIB	Src	inhibitor
Roniciclib	Cdk1	inhibitor
ANDECALIXIMAB	Mmp9	antibody
SECUKINUMAB	Il17a	inhibitor
VINBLASTINE SULFATE	Tuba1c	inhibitor
PHENYTOIN	Scn9a	blocker
ASENAPINE MALEATE	Drd2	antagonist
MK-2461	Pdgfrb	inhibitor
TREMELIMUMAB	Ctla4	antibody
SORAFENIB TOSYLATE	Flt4	inhibitor
CHEMBL1466483	Gpr17	agonist
Refametinib	Map2k2	inhibitor
AZD-4769	Egfr	inhibitor
ANILERIDINE	Oprm1	agonist
GEDATOLISIB	Pik3r6	inhibitor
CHEMBL1269257	Cckar	agonist
BLOSOZUMAB	Sost	inhibitor
CARBENOXOLONE	Gjd4	inhibitor
[3H]CITALOPRAM	Slc6a4	inhibitor
CERULETIDE	Cckbr	agonist
HALOPERIDOL DECANOATE	Drd3	inverse_agonist
REBASTINIB	Yes1	inhibitor
ROMIPLOSTIM	C1s1	inhibitor
TACEDINALINE	Hdac7	inhibitor
CLORAZEPATE DIPOTASSIUM	Gabrb3	positive_allosteric_modulator
SCH-23390	Kcnj4	channel_blocker
CE-245677	Tek	inhibitor
CHEMBL1669669	Taar1	antagonist
BI113823	Bdkrb1	antagonist
HALOTHANE	Cckbr	agonist
CEP-5214	Flt4	inhibitor
CHEMBL260273	Ace2	inhibitor
CHLORPROMAZINE	Htr2a	antagonist
DIPYRIDAMOLE	Pde4d	inhibitor
OCTANOL	Osgin2	inhibitor
TROGLITAZONE	Trpm3	channel_blocker
CHEMBL525028	Vipr2	agonist
CHEMBL1236539	Prkcg	inhibitor
THIAMYLAL SODIUM	Gabra1	positive_allosteric_modulator
BUTALBITAL	Gabra1	antagonist
FORODESINE HYDROCHLORIDE	Pnp	inhibitor
OXTRIPHYLLINE	Pde4d	inhibitor
CHEMBL570352	S1pr2	agonist
PALMITIC ACID	Ffar1	agonist
IDRAPARINUX	F10	inhibitor
FLURAZEPAM HYDROCHLORIDE	Gabrp	positive_allosteric_modulator
HYDROCHLOROTHIAZIDE	Slc12a3	inhibitor
NORHARMANE	Ido1	inhibitor
TRIFLUOPERAZINE	Hrh1	antagonist
MICONAZOLE	Trpv5	channel_blocker
TG100-801	Fyn	inhibitor
FLUFENAMIC ACID	C6	inhibitor
GSK-690693	Prkg1	inhibitor
SUNITINIB MALATE	Csf1r	inhibitor
VENETOCLAX	Bcl2	antagonist
BMS-911543	Tyk2	inhibitor
DIZOCILPINE	Grin2c	channel_blocker
ARTICAINE HYDROCHLORIDE	Scn10a	blocker
ROMIPLOSTIM	Mpl	agonist
Henatinib	Kdr	inhibitor
CHEMBL222301	Sigmar1	agonist
ORTATAXEL	Abcb4	modulator
CHEMBL3116050	Jak1	inhibitor
NIMESULIDE	Ptgs1	inhibitor
ALPELISIB	Pik3c2b	inhibitor
GEDATOLISIB	Pik3c3	inhibitor
OMIPALISIB	Akt3	inhibitor
LOTEPREDNOL ETABONATE	Nr3c1	binder
DOVITINIB	Flt1	inhibitor
PERAMPANEL	Gria2	antagonist
(D)-SERINE	Grin2a	agonist
AMRUBICIN	Top2a	inhibitor
BUSPIRONE HYDROCHLORIDE	Htr1a	partial_agonist
Famitinib	Kdr	inhibitor
CHEMBL3086883	Brd4	inhibitor
NINTEDANIB	Frk	inhibitor
PLX-3397	Flt3	inhibitor
GS 6201	Adora2b	antagonist
PASIREOTIDE	Sstr5	agonist
CIMETIDINE	Slc29a4	inhibitor
INSULIN ZINC SUSP RECOMBINANT HUMAN	Insr	agonist
IXAZOMIB CITRATE	Psmd2	inhibitor
TOCILIZUMAB	Il6ra	inhibitor
EPINEPHRINE	Adra1b	agonist
PF-562271	Flt3	inhibitor
CHEMBL136800	Gria1	allosteric_modulator
DRONEDARONE HYDROCHLORIDE	Scn3a	blocker
METHYLPREDNISOLONE ACETATE	Nr3c1	agonist
PIZOTYLINE	Htr1a	antagonist
PRALATREXATE	Dhfr	inhibitor
Poziotinib	Egfr	inhibitor
CHEMBL257591	Chrna7	allosteric_modulator
SRX251	Avpr1a	antagonist
METHYL NONYL KETONE	Chek1	inhibitor
DINUTUXIMAB	B4galnt1	antibody
ASPIRIN	Fpr-rs3	agonist
SELICICLIB	Cdk9	inhibitor
CHEMBL23576	Ntsr1	agonist
ROCURONIUM BROMIDE	Chrng	antagonist
BX-795	Chek1	inhibitor
DINOPROSTONE	Ptger3	agonist
X-396	Alk	inhibitor
ESMOLOL	Oprk1	antagonist
SB-649868	Hcrtr1	antagonist
PROPANOL	Fpr-rs3	agonist
GANITUMAB	Igf1r	antibody
CHEMBL309566	Adora3	antagonist
LEFLUNOMIDE	Dhodh	inhibitor
ZALEPLON	Gabrg2	positive_allosteric_modulator
MIDOSTAURIN	Kit	inhibitor
IMPROMIDINE	Hrh4	agonist
CRISABOROLE	Pde4b	inhibitor
AMLODIPINE BESYLATE	Cacna1c	blocker
FEDRATINIB	Jak3	inhibitor
PAZOPANIB HYDROCHLORIDE	Lck	inhibitor
LUCITANIB	Flt1	inhibitor
ADAPALENE	Rara	agonist
AMITRIPTYLINE	Slc6a2	inhibitor
CHEMBL54004	Ggps1	inhibitor
MYRISTIC ACID	Ffar4	agonist
CHEMBL304858	Ptger4	antagonist
CHEMBL369928	P2ry12	antagonist
LGH-447	Pim1	inhibitor
ABATACEPT	Cd80	binder
CILANSETRON	Htr3b	antagonist
ECALLANTIDE	Klk1b22	inhibitor
OSIMERTINIB MESYLATE	Erbb2	inhibitor
NICOTINE	Chrnb2	agonist
ALPELISIB	Pik3cb	inhibitor
TREMELIMUMAB	Ctla4	antibody
DACOMITINIB	Egfr	inhibitor
HYDROXYZINE HYDROCHLORIDE	Hrh1	antagonist
AMG-900	Aurkb	inhibitor
LUTROPIN ALFA	Npy2r	antagonist
AST-487	Kit	inhibitor
CHEMBL1232461	Brd3	inhibitor
SAMIDORPHAN	Oprm1	antagonist
NV-128	Ndufb6	inhibitor
MINODRONIC ACID	Ggps1	inhibitor
AV-101	Grin1	antagonist
TECALCET HYDROCHLORIDE	Casr	modulator
SP-600125	Mapk9	inhibitor
TANNIC ACID	Ano1	channel_blocker
PHENYLBUTAZONE	Ptgs1	inhibitor
CHEMBL221692	Htr1a	agonist
RU-24969	Htr2b	agonist
BMS-777607	Axl	inhibitor
CHEMBL2325441	Prmt3	inhibitor
ASTEMIZOLE	Hrh1	antagonist
CHEMBL1851943	Hdac9	inhibitor
QUINPIROLE	Htr1a	agonist
IMPROGAN	Hrh4	agonist
TERBOGREL	Tbxa2r	antagonist
PEMETREXED DISODIUM	Tyms	inhibitor
FOSPHENYTOIN SODIUM	Scn10a	blocker
ARACHIDONIC ACID	Kcnk4	activator
LIPOXIN A4	Fpr-rs3	agonist
COCAINE	Htr3b	antagonist
MONTELUKAST	Cysltr1	antagonist
PAC-14028	Trpv1	antagonist
ISOPROTERENOL SULFATE	Adrb2	agonist
RESVERATROL	Pparg	antagonist
CHEMBL521784	Tbxa2r	agonist
COPANLISIB	Pik3c2b	inhibitor
RUFINAMIDE	Scn1a	blocker
CHLORPROMAZINE	Adra2b	antagonist
EFLORNITHINE HYDROCHLORIDE HYDRATE	Odc1	inhibitor
SODIUM PHENYLBUTYRATE	Pde4a	inhibitor
SORAFENIB TOSYLATE	Vegfa	inhibitor
MESULERGINE	Serpina3n	antagonist
CHEMBL255088	Cyp27a1	inhibitor
TERFENADINE	Kcnh2	channel_blocker
METOCURINE IODIDE	Chrna2	antagonist
IMIQUIMOD	Tlr7	agonist
NV-128	Ndufb9	inhibitor
CHEMBL285819	Adora2b	agonist
TANDUTINIB	Kit	inhibitor
POMALIDOMIDE	Crbn	inhibitor
GSK189254	Hrh3	antagonist
BALANOL	Prkch	inhibitor
CHEMBL317382	Adora3	antagonist
AZD-1152-HQPA	Aurkb	inhibitor
BORTEZOMIB	Psmc2	inhibitor
FOLIC ACID	Folr1	binder
ASPARTIC ACID	Grin2a	agonist
ACETAZOLAMIDE SODIUM	Car1	inhibitor
CORTICOTROPIN	Oprk1	agonist
IXAZOMIB CITRATE	Psma2	inhibitor
CHEMBL2164243	Kdm2a	inhibitor
CHEMBL469212	Entpd2	inhibitor
CHEMBL41716	Htr1a	agonist
Drinabant	Cnr1	antagonist
VANDETANIB	Flt4	inhibitor
ILOPERIDONE	Drd2	antagonist
CHEMBL482796	Asic2	agonist
PD-0166285 (CHEMBL3545196)	Src	inhibitor
DAIDZEIN	Trpc5	activator
ALISERTIB	Aurka	inhibitor
HUMAN FSH	Fshr	agonist
CHEMBL402162	Ptger4	antagonist
ISOFLUROPHATE	Ache	inhibitor
FULVESTRANT	Gper1	agonist
METHYLERGONOVINE MALEATE	Drd1	antagonist
FORETINIB	Kdr	inhibitor
GLYCOPYRROLATE BROMIDE	Chrm3	antagonist
CHEMBL3108827	Birc3	antagonist
ETHACRYNATE SODIUM	Slc12a1	inhibitor
GABAZINE	Gabra6	antagonist
PERGOLIDE MESYLATE	Drd3	agonist
AT-9283	Aurkb	inhibitor
PF-03814735	Aurka	inhibitor
EPINEPHRINE	Adrb3	agonist
RUXOLITINIB	Jak1	inhibitor
SALICYLIC ACID	Ptgs1	inhibitor
ILOMASTAT	Mmp14	inhibitor
ZIPRASIDONE	Chrna7	binder
INECALCITOL	Vdr	agonist
CHEMBL1908396	Kit	inhibitor
CHEMBL1317823	Ptgdr	antagonist
TOZASERTIB	Slk	inhibitor
PI-103	Pik3r4	inhibitor
TRAFERMIN	Fgfr2	activator
ACETYLCHOLINE CHLORIDE	Chrm3	agonist
CHEMBL2133556	Trpv4	channel_blocker
TEMAZEPAM	Gabra6	positive_allosteric_modulator
ROMIDEPSIN	Hdac1	inhibitor
PF-03882845	Pgr	antagonist
LEVODOPA	Drd3	agonist
PELITINIB	Erbb4	inhibitor
PEVONEDISTAT	Uba3	inhibitor
ISOBUTYRIC ACID	Ffar2	agonist
Tedalinab	Cnr2	agonist
4-DAMP	Chrm1	antagonist
ACALABRUTINIB	Txk	inhibitor
KETOTIFEN	Hrh1	antagonist
AC-480	Erbb2	inhibitor
SAPRISARTAN POTASSIUM	Agtr1b	antagonist
VINORELBIN DITARTRATE	Tuba1b	inhibitor
CHLORDIAZEPOXIDE HYDROCHLORIDE	Gabra4	positive_allosteric_modulator
GOSERELIN	Gnrhr	agonist
ANISINDIONE	Gc	inhibitor
OUABAIN	Atp1a1	binder
CLONIDINE	Adra2a	agonist
RELAXIN	Rxfp2	agonist
DINACICLIB	Cdk9	inhibitor
AMINOPHYLLINE	Pde4a	inhibitor
CEDIRANIB	Kdr	inhibitor
CHEMBL198059	Adrb2	antagonist
NMS-1116354	Cdc7	inhibitor
TC-6499	Chrna3	agonist
TRAZODONE HYDROCHLORIDE	Htr2c	antagonist
BOSENTAN	Ednra	antagonist
TALMAPIMOD	Mapk14	inhibitor
VORTIOXETINE HYDROBROMIDE	Htr3a	antagonist
RISPERIDONE	Hrh1	antagonist
ABEXINOSTAT	Hdac9	inhibitor
ATOSIBAN	Avpr2	antagonist
PEXACERFONT	Crhr1	antagonist
SB-220025	Mapk14	inhibitor
APREPITANT	Spr	antagonist
CISATRACURIUM BESYLATE	Chrna1	antagonist
XL-999	Flt3	inhibitor
GUANIDINE HYDROCHLORIDE	Kcnh4	blocker
BREXPIPRAZOLE	Htr2a	antagonist
AZELAIC ACID	Adcyap1r1	antagonist
CHLORTHALIDONE	Car7	inhibitor
INAMRINONE	Pde3b	inhibitor
ACETAMINOPHEN	Faah	inhibitor
CHEMBL89241	Rorb	antagonist
CINACALCET HYDROCHLORIDE	Casr	positive_allosteric_modulator
EPTINEZUMAB	Calcb	inhibitor
AXITINIB	Flt1	inhibitor
DIPYRIDAMOLE	Pde6b	inhibitor
L-21649	Flt1	inhibitor
OC000459	Ptgdr2	antagonist
ATAGABALIN	Cacng1	modulator
PROPAFENONE HYDROCHLORIDE	Scn5a	blocker
MONOETHANOLAMINE	Ramp3	antagonist
Delantercept	Bmp10	inhibitor
AMG-548	Mapk14	inhibitor
APOMORPHINE	Htr1a	agonist
TORSEMIDE	Slc12a1	inhibitor
TRIMEPRAZINE TARTRATE	Hrh1	antagonist
Olocrolimus	Fkbp1a	inhibitor
NIACIN	Hcar1	agonist
RIMCAZOLE	Sigmar1	antagonist
NV-128	Ndufa2	inhibitor
CALCITONIN HUMAN	Calcr	agonist
LEUPROLIDE ACETATE	Gnrhr	agonist
IVABRADINE	Hcn1	channel_blocker
ECHOTHIOPHATE	Ache	inhibitor
QUERCETIN	Pik3r5	inhibitor
PERTUZUMAB	Erbb2	antibody
LISURIDE	Drd5	agonist
TG-02	Jak2	inhibitor
CANDESARTAN	Agtr1b	antagonist
ENMD-981693	Fgfr3	inhibitor
XL-228	Hck	inhibitor
PROCAINAMIDE	Scn5a	blocker
CHEMBL344662	Agtr1b	antagonist
XANOMELINE	Chrm1	agonist
PENTOBARBITAL SODIUM	Gabrb2	positive_allosteric_modulator
AMG-319	Pik3ca	inhibitor
ATAGABALIN	Cacnb3	modulator
METHYPRYLON	Gabra1	antagonist
CHEMBL252764	Sstr1	agonist
DOXYCYCLINE HYDRATE	Mmp8	inhibitor
LEVALLORPHAN TARTRATE	Oprk1	partial_agonist
MUPARFOSTAT (CHEMBL1615835)	Hpse	inhibitor
LISDEXAMFETAMINE DIMESYLATE	Slc18a2	inhibitor
GSK-1070916	Aurkc	inhibitor
LEVALBUTEROL TARTRATE	Adrb2	agonist
CHEMBL116837	Ptgdr	antagonist
CHEMBL3103988	Chrna4	allosteric_modulator
HALOPERIDOL	Drd4	antagonist
OXCARBAZEPINE	Scn8a	blocker
METHSCOPOLAMINE BROMIDE	Chrm3	antagonist
RIMEXOLONE	Serpina6	binder
CARFILZOMIB	Psmb8	inhibitor
CHEMBL88272	Adra1a	antagonist
PHA-793887	Cdk6	inhibitor
THIORIDAZINE	Serpina3n	antagonist
T-BUTYLBICYCLOPHOSPHOROTHIONATE	Gabrb2	channel_blocker
ASPIRIN	Asic3	channel_blocker
CHEMBL432038	Grm1	antagonist
CHEMBL13790	Mtnr1a	agonist
REGORAFENIB	Raf1	inhibitor
GYKI-52466	Gria4	antagonist
PROPAFENONE	Adrb2	antagonist
KETAMINE	Grin2b	channel_blocker
ACETOHYDROXAMIC ACID	Rxfp2	agonist
CER-002	Ppard	agonist
TOCAINIDE HYDROCHLORIDE	Scn9a	blocker
CANDICIDIN	Pik3cb	inhibitor
CHEMBL104028	Trpv1	blocker
SERLOPITANT	Tacr1	antagonist
AZD-8055	Rptor	inhibitor
OMIPALISIB	Pik3r2	inhibitor
CHEMBL88147	Adora3	antagonist
DABIGATRAN	F2	inhibitor
CHEMBL329305	Cckbr	antagonist
BUTABARBITAL SODIUM	Gabrp	positive_allosteric_modulator
RAUWOLSCINE	Adra2a	antagonist
ALPELISIB	Pik3cb	inhibitor
CHEMBL504548	Drd2	antagonist
INDIBULIN	Tuba4a	inhibitor
FARNESYL DIPHOSPHATE	Mvk	inhibitor
SARPOGRELATE	Htr2a	antagonist
PHENDIMETRAZINE TARTRATE	Nat2	inhibitor
CHEMBL435278	Anxa3	agonist
CHEMBL3186179	Htr2a	agonist
CEP-11981	Stk3	inhibitor
OBINEPITIDE	Npy2r	agonist
DOLASETRON	Htr3a	antagonist
TRAZODONE HYDROCHLORIDE	Htr2a	antagonist
LOMITAPIDE	Mtnr1a	agonist
ISOETHARINE HYDROCHLORIDE	Adrb2	agonist
MIANSERIN	Adra1a	antagonist
CUDC-907	Hdac2	inhibitor
PROPOXYCAINE HYDROCHLORIDE	Scn4a	blocker
PURVALANOL B	Cdk5	inhibitor
HALOTHANE	Cckbr	agonist
REGLITAZAR	Pparg	agonist
TRIAPINE	Nr2e3	inhibitor
CHEMBL104028	Trpv1	channel_blocker
MIFEPRISTONE	Nr3c1	antagonist
INK-128	Pik3cg	inhibitor
L-PHENYLALANINE	Galr2	agonist
SELUMETINIB	Map2k5	inhibitor
ZUCLOPENTHIXOL	Drd2	antagonist
TALTIRELIN	Trhr	agonist
BELINOSTAT	Hdac2	inhibitor
TG-02	Jak2	inhibitor
CHEMBL435278	Anxa5	agonist
CABERGOLINE	Drd1	agonist
DINACICLIB	Cdk9	inhibitor
KAINIC ACID	Grik4	agonist
DALTEPARIN SODIUM	Serpinc1	activator
ETIDOCAINE HYDROCHLORIDE	Scn9a	blocker
ISOFLURANE	Gabrb1	positive_allosteric_modulator
MK-0249	Hrh1	antagonist
NIFEDIPINE	Glra3	antagonist
TRAMETINIB	Map2k3	inhibitor
TOSEDOSTAT	Xpnpep2	inhibitor
VARENICLINE	Chrna4	agonist
BUPARLISIB	Pik3ca	inhibitor
SB-773812	Htr2a	antagonist
PASIREOTIDE DIASPARTATE	Sstr1	agonist
PIMASERTIB	Map2k1	inhibitor
ROMIDEPSIN	Hdac3	inhibitor
ROTIGOTINE	Drd4	agonist
CHEMBL1221649	S1pr1	antagonist
BRENTUXIMAB VEDOTIN	Tubb6	inhibitor
DOTHIEPIN (CHEMBL1492500)	Slc6a4	inhibitor
ORANTINIB	Aurkb	inhibitor
ZOTAROLIMUS	Fkbp1a	inhibitor
RALFINAMIDE	Scn9a	blocker
TTP-607	Aurkb	inhibitor
RETINOL	Nr2c2	agonist
XL-820	Kdr	inhibitor
CHEMBL1329101	Fpr1	antagonist
A-192621	Ednrb	antagonist
CIMETIDINE	Lgr5	agonist
SEBACIC ACID	Prkca	inhibitor
UROFOLLITROPIN	Fshr	agonist
TOPIRAMATE	Grik2	antagonist
BEGACESTAT	Psen1	inhibitor
CHEMBL10332	Adra2b	antagonist
PANITUMUMAB	Egfr	agonist
MAGNESIUM	Trpv5	channel_blocker
RUBOXISTAURIN	Prkcb	inhibitor
BICARBONATE	Ccr2	agonist
BETHANECHOL	Chrm2	agonist
ATROPINE SULFATE	Chrm1	antagonist
ILOMASTAT	Adam17	inhibitor
GEDATOLISIB	Pik3r2	inhibitor
CHEMBL420311	Sirt1	inhibitor
SENICAPOC	Kcnn4	blocker
NILOTINIB	Abl1	inhibitor
FLUPHENAZINE	Htr6	antagonist
ARTICAINE HYDROCHLORIDE	Scn3a	blocker
CERITINIB	Flt3	inhibitor
ME-344	Ndufb8	inhibitor
DANIRIXIN	Cxcr2	antagonist
RYANODINE	Ryr1	activator;channel_blocker
CEP-11981	Kdr	inhibitor
MK-0533	Pparg	modulator
ROXINDOLE	Drd4	agonist
OXYMORPHONE	Oprm1	agonist
SC-80036	Mapk14	inhibitor
MGCD-265	Kdr	inhibitor
CARBAMAZEPINE	Scn5a	blocker
CEPHALOTHIN	Slc22a8	inhibitor
CHEMBL1800685	P2ry14	antagonist
SAPITINIB	Erbb2	inhibitor
PREDNISOLONE ACETATE	Fpr-rs3	agonist
TOZASERTIB	Aurka	inhibitor
WORTMANNIN	Pi4kb	inhibitor
TETRACAINE	Scn10a	blocker
CHEMBL1256682	Chrm1	antagonist
ANAKINRA	Il1r1	antagonist
CHEMBL1233686	Chrm2	antagonist
DIGOXIN	Fxyd2	inhibitor
ETHOXZOLAMIDE	Car9	inhibitor
CHEMBL1775179	Gpr119	agonist
NERISPIRDINE	Kcnq2	blocker
PHENPROCOUMON	Ccr5	antagonist
Ro-154513	Gabra6	allosteric_modulator
VILAZODONE	Nat2	agonist
DORZOLAMIDE	Fdps	inhibitor
CHEMBL472925	Adora3	agonist
GANITUMAB	Igf1r	antibody
INFIGRATINIB	Fgfr2	inhibitor
LETAXABAN	F10	inhibitor
CHEMBL489100	Adam17	inhibitor
SORAFENIB	Kdr	inhibitor
COBIMETINIB	Map2k1	inhibitor
BALSALAZIDE DISODIUM	Ptgs1	inhibitor
TTP-607	Aurka	inhibitor
SB-705498	Trpv1	antagonist
SENICAPOC	Kcnn4	blocker
BGT-226 (CHEMBL3545096)	Pik3r2	inhibitor
GSK2881078	Ar	modulator
ANISOTROPINE METHYLBROMIDE	Chrm3	antagonist
ALENDRONIC ACID	Sstr4	agonist
MLN-8054	Aurka	inhibitor
CHEMBL473934	Blvrb	inhibitor
PRO-140	Ccr5	antibody
ZINC ION	Kcnj4	channel_blocker
CHEMBL99521	Chrm3	agonist
ORPHENADRINE CITRATE	Grin2d	antagonist
ERGOTAMINE	Htr5a	antagonist
NITRIC OXIDE	Gucy1a2	activator
UPROSERTIB	Akt1	inhibitor
ALRESTATIN	Tacr2	antagonist
RUXOLITINIB PHOSPHATE	Ptk2b	inhibitor
RITANSERIN	Htr2c	antagonist
FLURAZEPAM HYDROCHLORIDE	Gabrd	positive_allosteric_modulator
OXTRIPHYLLINE	Pde3a	inhibitor
LITHIUM CITRATE HYDRATE	Impa1	inhibitor
MIBAMPATOR	Gria1	positive_allosteric_modulator
BURIMAMIDE	Hrh2	agonist
