from	to	type
CHEMBL1236539	PRKCG	inhibitor
CHEMBL570352	S1PR2	agonist
PALMITIC ACID	FFAR1	agonist
TRIFLUOPERAZINE	HRH1	antagonist
DALFAMPRIDINE	KCNB2	blocker
MICONAZOLE	TRPV5	channel_blocker
ARTICAINE HYDROCHLORIDE	SCN10A	blocker
DOVITINIB	FLT1	inhibitor
BUSPIRONE HYDROCHLORIDE	HTR1A	partial_agonist
SB-224289	HTR1D	antagonist
NINTEDANIB	FRK	inhibitor
PASIREOTIDE	SSTR5	agonist
CHEMBL136800	GRIA1	allosteric_modulator
PIZOTYLINE	HTR1A	antagonist
SRX251	AVPR1A	antagonist
ASPIRIN	FPR2	agonist
SB-649868	HCRTR1	antagonist
PROPANOL	FPR2	agonist
IMPROMIDINE	HRH4	agonist
LUCITANIB	FLT1	inhibitor
AMITRIPTYLINE	SLC6A2	inhibitor
MYRISTIC ACID	FFAR4	agonist
CILANSETRON	HTR3B	antagonist
HYDROXYZINE HYDROCHLORIDE	HRH1	antagonist
LUTROPIN ALFA	NPY2R	antagonist
NV-128	NDUFB6	inhibitor
CHEMBL221692	HTR1A	agonist
RU-24969	HTR2B	agonist
ASTEMIZOLE	HRH1	antagonist
QUINPIROLE	HTR1A	agonist
IMPROGAN	HRH4	agonist
FOSPHENYTOIN SODIUM	SCN10A	blocker
LIPOXIN A4	FPR2	agonist
COCAINE	HTR3B	antagonist
ISOPROTERENOL SULFATE	ADRB2	agonist
SEROTONIN	HTR1D	agonist
CHLORPROMAZINE	ADRA2B	antagonist
SORAFENIB TOSYLATE	VEGFA	inhibitor
GSK189254	HRH3	antagonist
FOLIC ACID	FOLR1	binder
CHEMBL41716	HTR1A	agonist
Drinabant	CNR1	antagonist
DAIDZEIN	TRPC5	activator
ALISERTIB	AURKA	inhibitor
FULVESTRANT	GPER1	agonist
METHYLERGONOVINE MALEATE	DRD1	antagonist
GLYCOPYRROLATE BROMIDE	CHRM3	antagonist
PERGOLIDE MESYLATE	DRD3	agonist
PF-03814735	AURKA	inhibitor
CHEMBL1317823	PTGDR	antagonist
ACETYLCHOLINE CHLORIDE	CHRM3	agonist
LEVODOPA	DRD3	agonist
ISOBUTYRIC ACID	FFAR2	agonist
Tedalinab	CNR2	agonist
CHEMBL20963	HTR1D	agonist
4-DAMP	CHRM1	antagonist
KETOTIFEN	HRH1	antagonist
NARATRIPTAN HYDROCHLORIDE	HTR1D	agonist
GOSERELIN	GNRHR	agonist
CLONIDINE	ADRA2A	agonist
RELAXIN	RXFP2	agonist
CHEMBL198059	ADRB2	antagonist
TRAZODONE HYDROCHLORIDE	HTR2C	antagonist
RISPERIDONE	HRH1	antagonist
ATOSIBAN	AVPR2	antagonist
GUANIDINE HYDROCHLORIDE	KCNH4	blocker
BREXPIPRAZOLE	HTR2A	antagonist
AZELAIC ACID	ADCYAP1R1	antagonist
CHEMBL89241	RORB	antagonist
EPTINEZUMAB	CALCB	inhibitor
AXITINIB	FLT1	inhibitor
L-21649	FLT1	inhibitor
OC000459	PTGDR2	antagonist
ATAGABALIN	CACNG1	modulator
MONOETHANOLAMINE	RAMP3	antagonist
Delantercept	BMP10	inhibitor
APOMORPHINE	HTR1A	agonist
TRIMEPRAZINE TARTRATE	HRH1	antagonist
NIACIN	HCAR1	agonist
LEUPROLIDE ACETATE	GNRHR	agonist
LISURIDE	DRD5	agonist
XANOMELINE	CHRM1	agonist
CHEMBL252764	SSTR1	agonist
LISDEXAMFETAMINE DIMESYLATE	SLC18A2	inhibitor
LEVALBUTEROL TARTRATE	ADRB2	agonist
CHEMBL116837	PTGDR	antagonist
METHSCOPOLAMINE BROMIDE	CHRM3	antagonist
RIMEXOLONE	SERPINA6	binder
CARFILZOMIB	PSMB8	inhibitor
CHEMBL432038	GRM1	antagonist
CHEMBL13790	MTNR1A	agonist
PROPAFENONE	ADRB2	antagonist
ACETOHYDROXAMIC ACID	RXFP2	agonist
CER-002	PPARD	agonist
RAUWOLSCINE	ADRA2A	antagonist
SARPOGRELATE	HTR2A	antagonist
PHENDIMETRAZINE TARTRATE	NAT1	inhibitor
CHEMBL3186179	HTR2A	agonist
OBINEPITIDE	NPY2R	agonist
TRAZODONE HYDROCHLORIDE	HTR2A	antagonist
LOMITAPIDE	MTNR1A	agonist
ISOETHARINE HYDROCHLORIDE	ADRB2	agonist
L-PHENYLALANINE	GALR2	agonist
TALTIRELIN	TRHR	agonist
ALBENDAZOLE	RXFP3	agonist
CABERGOLINE	DRD1	agonist
MK-0249	HRH1	antagonist
CHEMBL1682258	OXER1	agonist
TOSEDOSTAT	XPNPEP2	inhibitor
SB-773812	HTR2A	antagonist
PASIREOTIDE DIASPARTATE	SSTR1	agonist
CHEMBL1329101	FPR1	antagonist
A-192621	EDNRB	antagonist
CHEMBL10332	ADRA2B	antagonist
MAGNESIUM	TRPV5	channel_blocker
ATROPINE SULFATE	CHRM1	antagonist
NILOTINIB	ABL1	inhibitor
FLUPHENAZINE	HTR6	antagonist
DANIRIXIN	CXCR2	antagonist
CHEMBL1800685	P2RY14	antagonist
PREDNISOLONE ACETATE	FPR2	agonist
TOZASERTIB	AURKA	inhibitor
TETRACAINE	SCN10A	blocker
CHEMBL1256682	CHRM1	antagonist
CHEMBL1775179	GPR119	agonist
PHENPROCOUMON	CCR5	antagonist
VILAZODONE	NAT1	agonist
TTP-607	AURKA	inhibitor
ANISOTROPINE METHYLBROMIDE	CHRM3	antagonist
ALENDRONIC ACID	SSTR4	agonist
MLN-8054	AURKA	inhibitor
PRO-140	CCR5	antibody
ZINC ION	KCNJ4	channel_blocker
CHEMBL99521	CHRM3	agonist
ORPHENADRINE CITRATE	GRIN2D	antagonist
NITRIC OXIDE	GUCY1A2	activator
ALRESTATIN	TACR2	antagonist
RITANSERIN	HTR2C	antagonist
MIBAMPATOR	GRIA1	positive_allosteric_modulator
Selurampanel	GRIA1	antagonist
PEGNIVACOGIN	F9	inhibitor
CHEMBL343357	CHRM5	allosteric_modulator
VINFLUNINE	TUBA3E	inhibitor
MONTELUKAST	S1PR4	agonist
MK-8777	GRIA1	positive_allosteric_modulator
CHEMBL277120	HTR1E	antagonist
ZOTEPINE	HTR1A	antagonist
CHEMBL267615	HTR1D	agonist
PYRAZINAMIDE	CPN1	inhibitor
LOMITAPIDE	MTNR1A	agonist
CEP-11981	TEK	inhibitor
ARFORMOTEROL TARTRATE	ADRB2	agonist
ALANINE	APLNR	agonist
Drinabant	CNR1	antagonist
HEXYLCAINE HYDROCHLORIDE	SCN10A	blocker
CHEMBL1233534	P2RY4	agonist
IDOXIFENE	ESR1	modulator
PERGOLIDE	HTR2B	agonist
ROPINIROLE	DRD3	agonist
SORAFENIB	FLT1	inhibitor
BRIMONIDINE TARTRATE	ADRA2A	agonist
DEOXYCHOLIC ACID	GPBAR1	agonist
CHEMBL1771389	GRM1	allosteric_modulator
TRAMADOL	OPRD1	agonist
REGORAFENIB	FLT1	inhibitor
PASIREOTIDE PAMOATE	SSTR2	agonist
THIORIDAZINE	HTR2C	antagonist
RIMONABANT	CNR1	antagonist
CHEMBL133455	HTR2C	agonist
FOSINOPRIL SODIUM	ACE	inhibitor
MILTEFOSINE	PLA2G1B	inhibitor
CHEMBL1196395	CCR5	antagonist
NARATRIPTAN	HTR1E	agonist
FLECAINIDE	KCNA7	channel_blocker
AVE0847	PPARD	agonist
ANTAZOLINE PHOSPHATE	HRH1	antagonist
ARIPIPRAZOLE	HTR1A	partial_agonist
5-METHYLFURMETHIODIDE	CHRM1	agonist
CHEMBL429731	NPFFR1	agonist
NAVITOCLAX	BCL2L1	antagonist
DOTHIEPIN (CHEMBL1492500)	HRH1	antagonist
CHEMBL148169	ADAM33	inhibitor
TADALAFIL	PDE11A	inhibitor
IMAGABALIN	CACNA1B	modulator
NV-128	NDUFC2	inhibitor
NALOXONE HYDROCHLORIDE	OPRD1	antagonist
DESOXYCORTICOSTERONE	GRPR	agonist
STAUROSPORINE	CHRM1	allosteric_modulator
ADENOSINE DIPHOSPHATE	P2RY13	agonist
CEDIRANIB	FLT1	inhibitor
CHEMBL332347	NPFFR1	antagonist
CHEMBL329011	MC4R	antagonist
DOTHIEPIN (CHEMBL1492500)	CHRM1	antagonist
DASOTRALINE	NAT1	inhibitor
FONTOLIZUMAB	IFNG	antibody
ADATANSERIN	HTR2A	antagonist
CHEMBL422942	NPY1R	antagonist
DARIFENACIN	CHRM1	antagonist
CHEMBL252764	SSTR5	agonist
CARMOTEROL	ADRB2	agonist
CHEMBL3274309	AVPR1A	agonist
OXOTREMORINE	CHRM4	agonist
CHRYSIN	CYP1B1	inhibitor
VENLAFAXINE	SLC6A2	inhibitor
SELEPRESSIN	AVPR1A	agonist
ERIBULIN MESYLATE	TUBA3E	inhibitor
SEROTONIN	HTR1D	agonist
TOLAZOLINE	ADRA2B	antagonist
Trelanserin	HTR2A	antagonist
DIPRENORPHINE	OPRD1	agonist
CROLIBULIN	TUBA3E	inhibitor
CHEMBL189568	AGTR2	agonist
AFAMELANOTIDE	MC1R	agonist
CERLAPIRDINE	HTR6	antagonist
CHEMBL329011	MC3R	antagonist
(R)ZACOPRIDE	HTR3B	antagonist
ACIFRAN	HCAR2	agonist
HYDROXYAMPHETAMINE HYDROBROMIDE	ADRA2B	agonist
FARLETUZUMAB	FOLR1	antagonist
AFLIBERCEPT	VEGFA	inhibitor
OCTANOL	GJB4	inhibitor
CHEMBL403317	GRPR	agonist
BLONANSERIN	HTR2A	antagonist
HYDROMORPHONE	OPRD1	agonist
CHEMBL39372	GRM1	antagonist
SPIPERONE	HTR1A	antagonist
TRIPROLIDINE	HRH1	antagonist
BIPERIDEN (CHEMBL1101)	CHRM3	antagonist
CHEMBL97450	HTR1B	agonist
DEXMEDETOMIDINE	ADRA2B	agonist
CHEMBL202721	AURKA	inhibitor
CABAZITAXEL	TUBB	inhibitor
PRUCALOPRIDE	NAT1	agonist
RIOCIGUAT	GUCY1B3	positive_allosteric_modulator
ENALAPRIL MALEATE	ACE	inhibitor
ISOFLURANE	GABRG1	positive_allosteric_modulator
ENMD-2076	AURKA	inhibitor
Tarafenacin	CHRM3	antagonist
TRAZODONE	HTR2B	antagonist
EGLUMEGAD	GRM6	agonist
CHEMBL435323	AVPR1A	agonist
BROMOCRIPTINE	HTR6	agonist
SPIRAMIDE	HTR2B	antagonist
CARBACYCLIN	PTGDR	agonist
ROPIVACAINE HYDROCHLORIDE	SCN10A	blocker
DODECANOATE	GPR84	agonist
PRINOMASTAT	MMP13	vaccine
LYSERGIDE	HTR2C	agonist
OXYBUTYNIN	CHRM4	antagonist
CHEMBL1161480	NMBR	agonist
PROMAZINE	DRD3	antagonist
LANREOTIDE ACETATE	SSTR2	agonist
ARECAIDINE PROPARGYL ESTER	CHRM3	agonist
XANOMELINE	HTR6	agonist
SUNITINIB	PDGFB	inhibitor
CHEMBL339053	MC4R	agonist
PF-03814735	AURKA	inhibitor
NIMODIPINE	CACNA1S	blocker
VILANTEROL	ADRB2	agonist
CHEMBL1256672	ADORA2A	agonist
AXOMADOL	OPRD1	agonist
PROPYLENE GLYCOL	FPR1	antagonist
MONTELUKAST	S1PR3	antagonist
OLEOYL DOPAMINE	GPR119	agonist
DICUMAROL	VKORC1	inhibitor
VINBLASTINE	TUBB	inhibitor
ISOPROTERENOL HYDROCHLORIDE	ADRB1	agonist
CHEMBL410596	SSTR5	agonist;antagonist
OXYBUTYNIN	CHRM3	antagonist
CHEMBL1951658	GRM1	allosteric_modulator
PAMOIC ACID	PTGER2	antagonist
CHEMBL60264	HTR6	antagonist
CHEMBL279453	CHRM3	antagonist
CLONIDINE HYDROCHLORIDE	ADRA2B	agonist
TERGURIDE	DRD3	agonist
CHEMBL1256998	NAT1	antagonist
PD-170292	CCKAR	agonist
SCOPOLAMINE	CHRM3	antagonist
RAMATROBAN	PTGDR2	antagonist
VASOPRESSIN TANNATE	AVPR2	agonist
CENICRIVIROC	CCR5	antagonist
TUBOCURARINE CHLORIDE	CHRND	antagonist
FEVIPIPRANT	PTGDR2	antagonist
BIPERIDEN LACTATE	CHRM1	antagonist
ORPHENADRINE CITRATE	SCN10A	blocker
CEP-2563	PRKCQ	inhibitor
AZD5672	CCR5	antagonist
LORCASERIN	HTR2A	agonist
CHEMBL20963	HTR2A	agonist
CHEMBL494303	F2RL1	agonist
NINTEDANIB	FLT1	inhibitor
LIXIVAPTAN	AVPR2	antagonist
TETRAHYDROZOLINE HYDROCHLORIDE	ADRA2B	agonist
GLUCAGON HYDROCHLORIDE RECOMBINANT	GCGR	agonist
SPIRAPRILAT	ACE	inhibitor
ENALAPRILAT	ACE	inhibitor
SULFINPYRAZONE	SLC22A12	inhibitor
BIPERIDEN HYDROCHLORIDE	CHRM1	antagonist
CHEMBL282489	ESR1	agonist
CEBRANOPADOL	OPRL1	agonist
NVP-AUY922	HSP90AB1	inhibitor
NAVARIXIN	CXCR2	antagonist
NERISPIRDINE	KCNA7	blocker
LANDOGROZUMAB	MSTN	inhibitor
DALFAMPRIDINE	KCNA10	channel_blocker
GLUCAGON HYDROCHLORIDE	GCGR	agonist
ATILMOTIN	MLNR	agonist
SB-224289	HTR2A	antagonist
NV-128	NDUFS2	inhibitor
GABAPENTIN ENACARBIL	CACNG7	modulator
METHYLERGONOVINE	HTR2C	agonist
LEVETIRACETAM	SV2A	modulator
NICKEL (II) ION	DRD5	agonist
ERGOTAMINE TARTRATE	ADRA2A	agonist
VINBURNINE	CHRM1	allosteric_modulator
LISURIDE	HTR2C	agonist
EMRICASAN	CASP5	inhibitor
ECONAZOLE	TRPV5	channel_blocker
ORPHENADRINE (CHLORIDE)	GRIN2D	antagonist
AFLIBERCEPT	VEGFA	antibody
DARIFENACIN	CHRM5	antagonist
RALOXIFENE	GPER1	agonist
cA2	GJC2	inhibitor
FEXOFENADINE HYDROCHLORIDE	HRH1	antagonist
MAPROTILINE HYDROCHLORIDE	NAT1	inhibitor
CHEMBL1885579	AGTR2	agonist
GABAPENTIN ENACARBIL	CACNG3	modulator
CHEMBL2165920	NPFFR1	agonist
NIFEDIPINE	CACNA1S	blocker
CLOZAPINE	DRD5	antagonist
PALIPERIDONE	HRH1	antagonist
PYRUVATE	S1PR3	antagonist
ACLIDINIUM	CHRM1	antagonist
SUNITINIB MALATE	FLT1	inhibitor
GLUCAGON	GLP1R	agonist
DIPHENYLENEIODONIUM CHLORIDE	GPR3	agonist
RG3487	HTR3C	antagonist
OZANIMOD	S1PR2	agonist
CHEMBL541253	GALR2	agonist
CHEMBL513056	HRH1	agonist
LINTITRIPT	CCKAR	antagonist
FR-79620	NPY5R	antagonist
REGRAMOSTIM	CD8B	agonist
SUFUGOLIX	GNRHR	antagonist
METHYLPHENIDATE HYDROCHLORIDE	NAT1	inhibitor
ESMOLOL	ADRB1	antagonist
LEUPROLIDE	EDNRB	antagonist
EPINEPHRINE	ADRA2B	agonist
BENZTROPINE	SLC6A19	inhibitor
AZELAIC ACID	VIPR2	antagonist
STAMULUMAB	MSTN	inhibitor
ALMOREXANT	HCRTR1	antagonist
THIOPERAMIDE	HRH4	antagonist
CENISERTIB	AURKA	inhibitor
ADENOSINE TRIPHOSPHATE	P2RY2	agonist
PREDNISOLONE	GPR119	agonist
PERGOLIDE	ADRA2B	agonist
GALANTIDE	GALR3	antagonist
CONIVAPTAN HYDROCHLORIDE	AVPR2	antagonist
CHEMBL292779	HTR1B	agonist
ROLOFYLLINE (CHEMBL2103819)	ADORA2A	antagonist
BMY-7378	HTR1A	agonist
5-METHYLFURMETHIODIDE	CHRM4	agonist
PROCHLORPERAZINE	DRD3	antagonist
CHEMBL94631	GRM1	antagonist
PIMAVANSERIN	HTR2A	antagonist
CRIZOTINIB	ROS1	inhibitor
CHEMBL1554789	HRH1	antagonist
CHEMBL38288	HTR1A	antagonist
INDIBULIN	TUBB	inhibitor
BECATECARIN	TOP1	inhibitor
THALIDOMIDE	RBX1	inhibitor
AVAGACESTAT	PSENEN	inhibitor
PIBOSEROD	HTR2B	antagonist
HISTRELIN	GNRHR	agonist
DEXMEDETOMIDINE HYDROCHLORIDE	ADRA2C	agonist
LABETALOL	ADRB2	antagonist
AZD7325	MTNR1A	antagonist
CHEMBL28000	HTR1A	agonist
CARPHENAZINE MALEATE	HTR2A	antagonist
BUSERELIN	GNRHR	agonist
KETANSERIN	TACR2	antagonist
CHEMBL104049	RORB	antagonist
VABICASERIN HYDROCHLORIDE	HTR2B	antagonist
AZD5672	CCR5	antagonist
CHEMBL309760	HTR2B	agonist
TIRASEMTIV	TNNC2	activator
SCOPOLAMINE	CHRM1	antagonist
ZOTEPINE	HRH1	antagonist
LY545694	GRM5	antagonist
PREDNISOLONE	SERPINA6	binder
METHANANDAMIDE	KCNK9	inhibitor
HIMBACINE	CHRM4	antagonist
CHEMBL27441	DRD3	antagonist
METHYPRYLON	GABRQ	positive_allosteric_modulator
KLH-2109	GNRHR	antagonist
CHEMBL476833	GPR55	antagonist
HEXOCYCLIUM METHYLSULFATE	CHRM1	antagonist
CHEMBL1933348	GCGR	antagonist
CHEMBL41275	CCR5	antagonist
FLUFENAMIC ACID	GJA4	inhibitor
GEMFIBROZIL	SLCO1B1	inhibitor
GLYCERIN	CCR1	agonist
CHEMBL33549	MTNR1A	agonist
BP-897	DRD3	agonist
TONAPOFYLLINE	ADORA2A	antagonist
NAVARIXIN HYDRATE	CXCR2	antagonist
LAS190792	ADRB2	agonist
BECLOMETHASONE	SERPINA6	binder
PERGOLIDE	DRD1	agonist
CHEMBL247132	HCAR2	agonist
CHEMBL266591	HTR3B	agonist
REVATROPATE	CHRM3	antagonist
MOTESANIB	FLT1	inhibitor
MOTILIN	MLNR	agonist
EPINEPHRINE BITARTRATE	ADRB1	agonist
OMECAMTIV MECARBIL	MYH7	activator
NABILONE	CNR1	agonist
SORAFENIB	FLT1	inhibitor
CHEMBL425190	HTR1A	antagonist
CHEMBL604991	GALR2	agonist
ANATIBANT	BDKRB2	antagonist
DIBUCAINE HYDROCHLORIDE	SCN10A	blocker
HYPERFORIN	CXCR6	agonist
PENTOXIFYLLINE	PDE7B	inhibitor
CHEMBL497834	GPR183	agonist
AT-9283	ABL1	inhibitor
SETMELANOTIDE	MC1R	agonist
SULPIRIDE	DRD3	antagonist
DEOXYCHOLIC ACID	FPR1	antagonist
BENZTROPINE MESYLATE	CHRM3	antagonist
AG-13958	FLT1	inhibitor
AZD-7451	NTRK2	inhibitor
PENTOBARBITAL SODIUM	GABRQ	positive_allosteric_modulator
RUFINAMIDE	SCN10A	blocker
TEDATIOXETINE	HTR2A	antagonist
DELTORPHIN II	OPRD1	agonist
TIVOZANIB	FLT1	inhibitor
BECAMPANEL	GRIA1	antagonist
TERGURIDE	HTR2B	antagonist
CHEMBL157769	CACNA1B	channel_blocker
CANNABINOL	CNR1	agonist
CHEMBL429731	PRLHR	agonist
CHEMBL357834	PTGDR2	agonist
ALMOTRIPTAN MALATE	HTR1F	agonist
OLODATEROL HYDROCHLORIDE	ADRB2	agonist
CHEMBL267615	HTR1A	agonist
CHEMBL277120	HTR2B	antagonist
RUBOXISTAURIN	PRKCG	inhibitor
TASIMELTEON	MTNR1A	agonist
ENRASENTAN	EDNRB	antagonist
TOZASERTIB	AURKA	inhibitor
ONERCEPT	TNF	inhibitor
GABAPENTIN	CACNG6	modulator
PROTOKYLOL HYDROCHLORIDE	ADRB2	agonist
EPHEDRINE	ADRB2	agonist
ZACOPRIDE	NAT1	agonist
THIORIDAZINE HYDROCHLORIDE	DRD3	antagonist
TANDOSPIRONE	HTR1A	agonist
HEXOCYCLIUM METHYLSULFATE	CHRM3	antagonist
OXYMETAZOLINE HYDROCHLORIDE	ADRA2A	agonist
CHEMBL226403	MAPKAPK3	inhibitor
METHACHOLINE CHLORIDE	CHRM3	agonist
ESMIRTAZAPINE MALEATE	HTR2C	antagonist
DOXAPRAM HYDROCHLORIDE	KCNK3	blocker
LAPAQUISTAT ACETATE	FDFT1	inhibitor
DALFAMPRIDINE	KCNA2	blocker
NORADRENALINE	ADRA2C	agonist
DAROTROPIUM BROMIDE	CHRM3	antagonist
EMIXUSTAT	RPE65	inhibitor
YOHIMBINE	ADRA2A	antagonist
PRUVANSERIN	HTR2A	antagonist
ROLOFYLLINE (CHEMBL52333)	CXCR3	agonist
PRINABEREL	ESR1	agonist
CHEMBL336208	P2RY1	agonist;antagonist
MYCOPHENOLIC ACID	IMPDH2	inhibitor
PONATINIB	ABL1	inhibitor
TRIMETREXATE	GNRHR	antagonist
PYRAZINAMIDE	CPB2	inhibitor
ERIBAXABAN	CHRM3	agonist
TRIFLUSAL	F2RL3	antagonist
NEUROKININ B	TACR3	agonist
AMG-900	AURKA	inhibitor
CHEMBL550577	PROKR1	antagonist
SPIPERONE	HTR2C	antagonist
IBIPINABANT	CNR1	antagonist
CHEMBL1356280	HTR2A	antagonist
TETRACAINE	SCN10A	inhibitor
GW842166X	CNR2	agonist
CHEMBL12296	MTNR1A	antagonist
KD3010	PPARD	agonist
SR9011	NR1D1	agonist
CLIDINIUM BROMIDE	CHRM1	antagonist
MOTESANIB	TLR9	antagonist
PENBUTOLOL SULFATE	ADRB1	antagonist
CHEMBL1765740	AURKA	inhibitor
NEBIVOLOL HYDROCHLORIDE	ADRB2	antagonist
CHEMBL1628262	PTGER2	agonist
PASIREOTIDE	SSTR1	agonist
NALBUPHINE	OPRD1	agonist
NEFAZODONE HYDROCHLORIDE	NAT1	inhibitor
MOTILIN	MLNR	agonist
NEBIVOLOL HYDROCHLORIDE	ADRB1	antagonist
NAVITOCLAX	BCL2L2	inhibitor
BLISIBIMOD	TNFSF13B	inhibitor
GABAPENTIN	CACNG3	modulator
ESTRADIOL ACETATE (CHEMBL1200430)	ESR1	agonist
CHEMBL1600780	HTR2A	agonist
XANOMELINE	HTR1E	agonist
RU-24969	HTR2C	agonist
ENZASTAURIN	PRKCG	inhibitor
CHEMBL1476646	GP1BA	inhibitor
CHEMBL12704	HRH4	agonist
ADENOSINE DIPHOSPHATE	P2RY6	agonist
SODIUM NITROPRUSSIDE	GUCY1B3	activator
GUANIDINE HYDROCHLORIDE	KCNS2	blocker
ESTAZOLAM	GABRQ	positive_allosteric_modulator
BRIAKINUMAB	IL12B	antibody
GALANIN	GALR2	agonist
ALBUTEROL	ADRB2	agonist
CHEMBL486030	CCR1	antagonist
ACOLBIFENE	ESR1	modulator
NITRACRINE	GCGR	binder
CIPROXIFAN	HRH1	antagonist
CHEMBL507824	TACR2	antagonist
FOSINOPRIL	ACE	inhibitor
LEMBOREXANT	HCRTR1	antagonist
SPIRONOLACTONE	SSTR2	agonist
LEVOCABASTINE HYDROCHLORIDE	HRH1	antagonist
PIRACETAM	GRIA1	allosteric_modulator
MOGAMULIZUMAB	CCR4	antibody
RIZATRIPTAN BENZOATE	HTR1D	agonist
MK-6913	ESR1	agonist
ME-344	MT-ND5	inhibitor
8-OH-DPAT	HTR2A	agonist
OCTOPAMINE	TAAR1	agonist
SCH-23390	DRD1	antagonist
ERGOTAMINE TARTRATE	ADRA2C	agonist
CHEMBL334920	GRIA1	allosteric_modulator
ACENOCOUMAROL	VKORC1	inhibitor
AXITINIB	FLT1	inhibitor
GSK163090	HTR1A	antagonist
V81444	ADORA2A	antagonist
FINGOLIMOD HYDROCHLORIDE	S1PR4	agonist
OSPEMIFENE	ESR1	modulator
LEVETIRACETAM	CACNA1B	blocker
FESOTERODINE FUMARATE	CHRM3	antagonist
CITRIC ACID	CHRM4	antagonist
FLUFENAMIC ACID	GJB2	inhibitor
CHEMBL418834	HTR1A	antagonist
IXABEPILONE	TUBB1	inhibitor
TG100-801	FLT1	inhibitor
CHEMBL1385076	GPR55	agonist
LUMILIXIMAB	FCER2	antagonist
ORPHENADRINE (CHLORIDE)	SCN10A	blocker
MYCOPHENOLATE MOFETIL	IMPDH2	inhibitor
HALOPERIDOL	HTR1A	antagonist
TERGURIDE	ADRA2B	antagonist
DENOSUMAB	TNFSF11	antibody
TROPICAMIDE	CHRM4	antagonist
CHEMBL174588	GRM1	allosteric_modulator
CHEMBL449588	FFAR1	agonist
DANUSERTIB	AURKA	inhibitor
BACLOFEN	NAT1	agonist
NERISPIRDINE	KCNF1	blocker
KETANSERIN	HTR2C	antagonist
CHEMBL1233457	GPR84	agonist
APOMORPHINE	HTR2B	antagonist
LYSERGIDE	HTR1A	agonist
MEPHENYTOIN	SCN10A	blocker
LABETALOL HYDROCHLORIDE	ADRB2	antagonist
MOTESANIB	FLT1	inhibitor
ARFORMOTEROL	ADRB2	agonist
MORPHINE	OPRD1	agonist
L-LACTIC ACID	HCAR1	agonist
PILOCARPINE HYDROCHLORIDE	CHRM3	agonist
QUINIDINE GLUCONATE	SCN10A	blocker
NAVARIXIN	CXCR2	antagonist
TOREFORANT	HRH4	antagonist
CHEMBL1774080	DRD3	antagonist
OLANZAPINE PAMOATE	HTR2C	antagonist
PINDOLOL	HTR1A	antagonist
ZONISAMIDE	SCN10A	blocker
PRILIXIMAB	CD4	negative_modulator
CHEMBL3186179	HTR1E	agonist
FLUOCINOLONE ACETONIDE	GRM1	allosteric_modulator
RUPLIZUMAB	CD40LG	inhibitor
