from	to	type
CEBPB	SAA2	Unknown
CEBPB	SFTPD	Unknown
CEBPB	SLC10A1	Unknown
CEBPB	SLC19A1	Activation
CEBPB	SLC5A8	Activation
CEBPB	STAR	Unknown
CEBPB	TFF3	Unknown
CEBPB	TNF	Unknown
CEBPB	TNFAIP6	Unknown
CEBPB	TOP1	Unknown
CEBPB	XBP1	Activation
CEBPD	C3	Unknown
CEBPD	CASP8	Unknown
CEBPD	CCL20	Activation
CEBPD	CXCL1	Activation
CEBPD	CYP19A1	Unknown
CEBPD	DDIT3	Repression
CEBPD	GADD45G	Unknown
CEBPD	GAPDH	Unknown
CEBPD	IL23A	Activation
CEBPD	PDGFRA	Unknown
CEBPD	POU5F1	Unknown
CEBPD	PPARG	Activation
CEBPD	PRL	Unknown
CEBPD	PTGS2	Unknown
CEBPD	SOD1	Activation
CEBPD	TNF	Unknown
CEBPD	TNFAIP6	Activation
CEBPE	CTSG	Unknown
CEBPE	GATA1	Unknown
CEBPE	LTF	Unknown
CEBPE	MMP2	Unknown
CEBPE	MYC	Unknown
CEBPE	PRG2	Repression
CEBPE	SPI1	Unknown
CEBPG	HBB	Unknown
CEBPG	SFTPD	Unknown
CEBPZ	APC	Activation
CEBPZ	COL11A1	Repression
CEBPZ	COL1A2	Unknown
CEBPZ	GZMB	Unknown
CEBPZ	MLH1	Repression
CEBPZ	SOX9	Unknown
CHD4	CD79A	Repression
CHD4	RNF8	Unknown
CHD8	BRCA1	Unknown
CHD8	CCNE2	Activation
CHD8	HOXA2	Unknown
CHD8	MYC	Unknown
CHD8	TYMS	Unknown
CIITA	COL1A1	Repression
CIITA	COL1A2	Unknown
CIITA	CREBBP	Unknown
CIITA	FASLG	Unknown
CIITA	HLA-A	Activation
CIITA	HLA-B	Activation
CIITA	HLA-C	Activation
CIITA	HLA-DMA	Activation
CIITA	HLA-DMB	Activation
CIITA	HLA-DOA	Activation
CIITA	HLA-DOB	Activation
CIITA	HLA-DPB1	Activation
CIITA	HLA-DQB1	Activation
CIITA	HLA-DRA	Activation
CIITA	HLA-DRB1	Activation
CIITA	HLA-DRB3	Activation
CIITA	HLA-DRB4	Activation
CIITA	HLA-DRB5	Activation
CIITA	HLA-F	Unknown
CIITA	HLA-G	Unknown
CIITA	IL4	Repression
CIITA	IRF1	Unknown
CIITA	IRF2	Unknown
CIITA	MMP9	Repression
CIITA	PLXNA1	Unknown
CIITA	PSMC5	Activation
CIITA	RAB4B	Unknown
CIITA	S100A4	Repression
CIITA	SIRT1	Repression
CIITA	SLC26A3	Unknown
CIITA	STAT1	Unknown
CITED2	MMP1	Repression
CITED2	MMP13	Repression
CLOCK	BHLHE40	Activation
CLOCK	BHLHE41	Activation
CLOCK	CRY1	Activation
CLOCK	CRY2	Activation
CLOCK	KAT5	Unknown
CLOCK	NAMPT	Activation
CLOCK	NR0B2	Activation
CLOCK	NR3C1	Repression
CLOCK	PER1	Activation
CLOCK	PER2	Activation
CLOCK	PER3	Activation
CLOCK	STAR	Activation
CLOCK	TPO	Unknown
CNBP	MYC	Unknown
CNOT7	MSMB	Unknown
CNOT7	PMP22	Unknown
CNOT8	MSMB	Unknown
CNOT8	PMP22	Unknown
COPS5	CDKN1B	Repression
COPS5	VEGFA	Activation
CRABP2	RARA	Activation
CREB1	ACACA	Activation
CREB1	ADRA1A	Unknown
CREB1	AQP3	Unknown
CREB1	AR	Unknown
CREB1	BCL2	Activation
CREB1	BCL2L11	Unknown
CREB1	BDKRB1	Unknown
CREB1	BDKRB2	Unknown
CREB1	BDNF	Activation
CREB1	CASP8	Activation
CREB1	CCK	Unknown
CREB1	CCL5	Unknown
CREB1	CD4	Unknown
CREB1	CGA	Unknown
CREB1	CRTC1	Unknown
CREB1	CXCR4	Unknown
CREB1	CYP11A1	Unknown
CREB1	CYP11B1	Activation
CREB1	CYP11B2	Activation
CREB1	CYP17A1	Activation
CREB1	CYP19A1	Unknown
CREB1	ERBB2	Unknown
CREB1	ETV3	Unknown
CREB1	FLT1	Unknown
CREB1	FOS	Activation
CREB1	FOXA1	Unknown
CREB1	GABPA	Unknown
CREB1	GRPR	Activation
CREB1	GSK3A	Unknown
CREB1	GSK3B	Unknown
CREB1	HLA-DOB	Activation
CREB1	HLA-DQB1	Activation
CREB1	HMOX1	Unknown
CREB1	HPGD	Unknown
CREB1	IFNG	Unknown
CREB1	IL10	Unknown
CREB1	IL2	Unknown
CREB1	IL5RA	Unknown
CREB1	IL6	Unknown
CREB1	JUN	Activation
CREB1	LAPTM4B	Unknown
CREB1	LYL1	Activation
CREB1	MC2R	Activation
CREB1	MITF	Activation
CREB1	MMP2	Unknown
CREB1	MSMB	Unknown
CREB1	MUC4	Unknown
CREB1	MUC5AC	Activation
CREB1	NDC80	Activation
CREB1	NF1	Unknown
CREB1	NMNAT2	Unknown
CREB1	NOLC1	Activation
CREB1	NPY	Activation
CREB1	NR2F1	Repression
CREB1	NR2F6	Repression
CREB1	NR4A3	Unknown
CREB1	NR5A2	Activation
CREB1	NRF1	Unknown
CREB1	NTS	Unknown
CREB1	ODC1	Unknown
CREB1	PCSK1	Unknown
CREB1	PLAT	Unknown
CREB1	PLAU	Unknown
CREB1	POLD2	Unknown
CREB1	PPM1D	Unknown
CREB1	PPP2CA	Activation
CREB1	PPP2R2B	Activation
CREB1	PRL	Unknown
CREB1	PSEN1	Unknown
CREB1	PTGES	Unknown
CREB1	PTGS2	Unknown
CREB1	RP1	Unknown
CREB1	RRM2B	Unknown
CREB1	SLC19A1	Unknown
CREB1	SLC20A1	Unknown
CREB1	SLC22A8	Unknown
CREB1	SLC39A1	Unknown
CREB1	SMAD6	Activation
CREB1	SNAI1	Repression
CREB1	SNAI2	Repression
CREB1	SOX9	Unknown
CREB1	SPRY2	Unknown
CREB1	STMN1	Unknown
CREB1	TH	Unknown
CREB1	TLR9	Unknown
CREB1	TRH	Unknown
CREB1	UXT	Activation
CREB1	VIP	Unknown
CREB1	XPC	Unknown
CREB3	CXCR4	Activation
CREB3L1	SLC1A4	Repression
CREB3L4	DNAJC12	Unknown
CREB5	ATP6V0E1	Activation
CREB5	CFB	Activation
CREB5	DGKG	Repression
CREB5	LGALS3BP	Repression
CREB5	LY96	Repression
CREB5	MAPKAPK3	Activation
CREB5	MX1	Activation
CREB5	RASGRP3	Repression
CREB5	RDX	Repression
CREB5	STAT1	Repression
CREB5	TGFBR3	Activation
CREB5	TNFRSF11B	Repression
CREBBP	ALOX15	Activation
CREBBP	BRCA1	Unknown
CREBBP	CCK	Unknown
CREBBP	CDKN1A	Activation
CREBBP	CREB1	Activation
CREBBP	CSF2	Unknown
CREBBP	EGFR	Unknown
CREBBP	EP300	Unknown
CREBBP	EZH2	Unknown
CREBBP	HINFP	Activation
CREBBP	HOXA10	Activation
CREBBP	HOXA9	Activation
CREBBP	IL4	Activation
CREBBP	INSM1	Activation
CREBBP	IRF1	Activation
CREBBP	PCK2	Activation
CREBBP	PPARA	Unknown
CREBBP	PSMC5	Activation
CREBBP	PTGS2	Unknown
CREBBP	RAD51	Unknown
CREBBP	RARA	Unknown
CREBBP	RS1	Unknown
CREBBP	S100A4	Unknown
CREBBP	TP53	Unknown
CREBBP	TRIM22	Unknown
CREG1	HSPA4	Repression
CREM	ACE	Activation
CREM	ACR	Unknown
CREM	FHL5	Unknown
CREM	CCL4	Repression
CREM	CCNA1	Unknown
CREM	CCNA2	Repression
CREM	CD247	Repression
CREM	CREB1	Repression
CREM	DUSP1	Repression
CREM	DUSP4	Repression
CREM	FASLG	Repression
CREM	FOS	Repression
CREM	G6PD	Repression
CREM	GPX4	Unknown
CREM	IL2	Unknown
CREM	IL5RA	Unknown
CREM	LDHC	Unknown
CREM	MC2R	Repression
CREM	PLAT	Unknown
CREM	SLC5A5	Repression
CREM	STAR	Unknown
CREM	TAF4	Unknown
CREM	TBP	Unknown
CREM	TH	Unknown
CREM	ZAP70	Unknown
CREB1	IBSP	Unknown
CRTC1	PPARGC1A	Activation
CRX	BEST1	Activation
CRX	NR2E3	Activation
CRX	RBP3	Unknown
CRX	RHO	Repression
CRX	RS1	Activation
CTBP1	BRCA1	Repression
CTBP1	BRCA2	Repression
CTBP1	CLDN7	Repression
CTBP1	KRT18	Unknown
CTCF	ANG	Unknown
CTCF	APP	Repression
CTCF	ASAP2	Unknown
CTCF	ATXN7	Unknown
CTCF	BBC3	Unknown
CTCF	BCL6	Repression
CTCF	BRCA1	Unknown
CTCF	CCND1	Unknown
CTCF	CELSR3	Unknown
CTCF	CSF2	Unknown
CTCF	DMPK	Unknown
CTCF	ETNK2	Unknown
CTCF	H19	Unknown
CTCF	PBXIP1	Unknown
CTCF	IGF2	Unknown
CTCF	IPO13	Unknown
CTCF	IRAK2	Unknown
CTCF	MEG3	Unknown
CTCF	MYC	Unknown
CTCF	NANOG	Unknown
CTCF	NF1	Unknown
CTCF	PAX6	Unknown
CTCF	PTPRG	Unknown
CTCF	RAD21	Unknown
CTCF	RARRES1	Activation
CTCF	RBL2	Unknown
CTCF	SIX5	Unknown
CTCF	SLC6A4	Unknown
CTCF	TERT	Repression
CTCF	WT1	Unknown
CTCFL	BAG1	Activation
CTNNB1	AR	Unknown
