name	id	type	tf	target	essential	developmental	mouse.ortholog	tumor.suppressor	proapoptotic	blood_cancer	breast_cancer	colorectal_cancer	gastric_cancer	liver_cancer	lung_cancer	nervous_system_cancer	pancreatic_cancer	prostate_cancer	sarcoma	skin_cancer
ZFX	ENSG00000005889	protein_coding	F	F	T	F		F	F	T	T	T	F	T	F	F	T	F	F	F
ASB4	ENSG00000005981	protein_coding	F	F	F	F	Asb4	F	F	F	F	F	F	F	F	F	F	F	F	F
CRLF1	ENSG00000006016	protein_coding	F	F	F	T	Crlf1	F	F	T	F	T	F	F	F	F	F	F	F	F
KRT33A	ENSG00000006059	protein_coding	F	T	F	F	Krt31	F	F	F	F	F	F	F	F	F	F	F	F	F
CACNG3	ENSG00000006116	protein_coding	F	F	F	F	Cacng3	F	F	T	F	F	F	F	F	F	F	F	F	F
ZNF263	ENSG00000006194	protein_coding	F	F	T	F	Zfp263	F	F	F	F	F	F	F	F	F	F	F	F	F
CX3CL1	ENSG00000006210	protein_coding	F	T	F	T	Cx3cl1	F	F	F	F	F	F	F	F	F	F	F	F	F
CCL26	ENSG00000006606	protein_coding	F	F	T	F		F	F	F	F	F	F	F	F	F	F	F	F	F
GGCT	ENSG00000006625	protein_coding	F	F	F	F	Ggct	F	F	F	F	F	F	F	F	F	F	F	F	F
LGALS14	ENSG00000006659	protein_coding	F	F	F	F	Lgals9	F	F	F	F	F	F	F	F	F	F	F	F	F
PNPLA4	ENSG00000006757	protein_coding	F	F	F	F		F	F	F	F	F	F	F	F	F	F	F	F	F
MYH13	ENSG00000006788	protein_coding	F	F	F	F	Myh13	F	F	F	F	F	F	F	F	F	F	F	F	F
ADIPOR2	ENSG00000006831	protein_coding	F	F	F	F	Adipor2	F	F	T	F	T	T	T	F	F	T	F	F	F
NOS2	ENSG00000007171	protein_coding	F	T	F	F	Nos2	F	F	F	F	F	F	F	F	F	F	F	F	F
TEAD3	ENSG00000007866	protein_coding	T	F	T	F	Tead3	F	F	F	F	F	F	F	F	F	F	F	F	F
DNAJC11	ENSG00000007923	protein_coding	F	F	T	F	Dnajc11	T	F	F	F	F	F	F	F	F	F	F	F	F
MYLIP	ENSG00000007944	protein_coding	F	F	T	T	Mylip	F	F	F	F	F	F	F	F	F	F	F	F	F
NOX1	ENSG00000007952	protein_coding	F	T	T	T	Nox1	F	F	F	F	F	F	F	F	F	F	F	F	F
PGLYRP1	ENSG00000008438	protein_coding	F	F	F	F	Pglyrp1	F	F	F	F	T	F	F	F	F	F	F	F	F
PAX7	ENSG00000009709	protein_coding	F	F	F	T	Pax7	F	F	F	F	T	F	F	F	F	F	F	F	F
FAM76A	ENSG00000009780	protein_coding	F	F	F	F	Fam76a	F	F	F	F	F	F	F	F	F	F	F	F	F
ETV7	ENSG00000010030	protein_coding	T	F	F	T		F	F	F	F	F	F	F	F	F	F	F	F	F
METTL13	ENSG00000010165	protein_coding	F	F	F	F		F	F	F	F	F	F	F	F	F	F	F	F	F
HHATL	ENSG00000010282	protein_coding	F	F	F	F	Hhatl	F	F	F	F	F	F	F	F	F	F	F	F	F
CD4	ENSG00000010610	protein_coding	F	T	F	T	Cd4	T	F	F	F	F	F	F	F	F	F	F	F	F
NME1-NME2	ENSG00000011052	protein_coding	F	F	F	F	Gm20390	F	F	F	F	F	F	F	F	F	F	F	F	F
APBA3	ENSG00000011132	protein_coding	F	F	F	T	Apba3	F	F	F	F	F	F	F	F	F	F	F	F	F
CEP68	ENSG00000011523	protein_coding	F	F	F	F	Cep68	F	F	T	F	T	F	T	F	F	F	F	F	F
MBTPS2	ENSG00000012174	protein_coding	F	F	T	F	Mbtps2	F	F	F	F	F	T	F	F	F	F	F	F	F
KDM5D	ENSG00000012817	protein_coding	F	F	F	F	Kdm5d	F	F	F	F	F	F	F	F	F	F	F	F	F
EHD3	ENSG00000013016	protein_coding	F	F	F	F	Ehd3	T	F	F	F	F	F	F	F	F	F	F	F	F
RWDD2A	ENSG00000013392	protein_coding	F	F	F	F	Rwdd2a	F	F	F	F	F	F	F	F	F	F	F	F	F
UFL1	ENSG00000014123	protein_coding	F	F	F	F	Ufl1	T	F	F	F	F	F	F	F	F	F	F	F	F
ZC3H3	ENSG00000014164	protein_coding	F	F	T	F	Zc3h3	F	F	T	F	T	T	F	F	F	F	F	F	F
MTMR11	ENSG00000014914	protein_coding	F	F	F	F	Mtmr11	F	F	T	F	T	F	T	F	F	F	F	F	F
NPC1L1	ENSG00000015520	protein_coding	F	F	F	F	Npc1l1	F	F	F	F	T	F	F	F	F	F	F	F	F
CHDH	ENSG00000016391	protein_coding	F	F	F	F	Chdh	F	F	F	F	F	F	T	F	F	F	F	F	F
CLCA1	ENSG00000016490	protein_coding	F	F	F	F	Clca1	F	F	F	F	F	F	F	F	F	F	F	F	F
RALBP1	ENSG00000017797	protein_coding	F	F	F	F	Ralbp1	F	F	F	F	F	F	F	F	F	F	F	F	F
VSIG2	ENSG00000019102	protein_coding	F	F	F	F	Vsig2	F	F	F	F	F	F	F	F	F	F	F	F	F
ADGRA2	ENSG00000020181	protein_coding	F	F	F	F	Adgra2	F	F	F	F	F	F	F	F	F	F	F	F	F
ERP44	ENSG00000023318	protein_coding	F	F	T	F	Erp44	F	F	T	F	T	T	T	F	T	T	F	F	F
ALAS1	ENSG00000023330	protein_coding	F	F	T	F	Alas1	F	F	F	F	T	F	F	F	F	F	F	F	F
AKAP11	ENSG00000023516	protein_coding	F	F	F	F	Akap11	F	F	T	F	F	F	F	F	F	F	F	F	F
SNAPC1	ENSG00000023608	protein_coding	F	T	T	F	Snapc1	F	F	F	F	F	F	F	F	F	F	F	F	F
UBR2	ENSG00000024048	protein_coding	F	F	F	F	Ubr2	F	F	T	F	T	F	T	F	F	F	F	F	F
CCDC28A	ENSG00000024862	protein_coding	F	F	F	F	Ccdc28a	F	F	F	F	F	F	F	F	F	F	F	F	F
HSF2	ENSG00000025156	protein_coding	T	F	F	F	Hsf2	F	F	F	F	F	F	T	F	F	F	F	F	F
TOMM34	ENSG00000025772	protein_coding	F	T	F	F	Tomm34	F	F	T	T	T	F	F	F	F	F	F	F	F
MIPEP	ENSG00000027001	protein_coding	F	T	T	F	Mipep	F	F	F	F	F	F	F	F	F	F	F	F	F
INSRR	ENSG00000027644	protein_coding	F	F	F	T	Insrr	F	F	F	F	F	F	F	F	F	F	F	F	F
IBSP	ENSG00000029559	protein_coding	F	T	F	T	Ibsp	F	F	F	F	F	F	F	F	F	F	F	F	F
HMGB3	ENSG00000029993	protein_coding	F	F	F	T	Hmgb3	F	F	F	F	F	F	F	F	F	F	F	F	F
BAK1	ENSG00000030110	protein_coding	F	F	F	T	Bak1	F	T	F	F	F	F	F	F	F	F	F	F	F
ARHGAP31	ENSG00000031081	protein_coding	F	F	F	F	Arhgap31	F	F	F	F	F	F	F	F	T	F	F	F	F
CENPQ	ENSG00000031691	protein_coding	F	F	T	F	Cenpq	F	F	F	F	F	F	F	F	F	F	F	F	F
TMSB10	ENSG00000034510	protein_coding	F	F	F	F	Gm9844	F	F	F	F	F	F	F	F	F	F	F	F	F
MYOC	ENSG00000034971	protein_coding	F	F	F	F	Myoc	F	F	T	F	F	F	F	F	F	F	F	F	F
STAP1	ENSG00000035720	protein_coding	F	F	F	F	Stap1	F	F	F	F	F	F	F	F	F	F	F	F	F
ZZZ3	ENSG00000036549	protein_coding	F	F	T	F		F	F	T	F	T	F	T	F	F	T	F	F	F
RPL26L1	ENSG00000037241	protein_coding	F	F	F	T		F	F	F	F	F	F	F	F	F	F	F	F	F
MRI1	ENSG00000037757	protein_coding	F	F	F	F	Mri1	F	F	F	F	F	F	F	F	F	F	F	F	F
HOXC8	ENSG00000037965	protein_coding	F	F	F	T	Hoxc8	F	F	F	F	F	F	F	F	F	F	F	F	F
PI4K2B	ENSG00000038210	protein_coding	F	F	F	F	Pi4k2b	F	F	F	F	F	F	F	F	F	F	F	F	F
SOX30	ENSG00000039600	protein_coding	F	F	F	F	Sox30	F	F	F	F	T	F	F	F	F	F	F	F	F
BEST2	ENSG00000039987	protein_coding	F	F	F	F	Best2	F	F	F	F	F	F	F	F	F	F	F	F	F
C2orf83	ENSG00000042304	protein_coding	F	F	F	F		F	F	F	F	F	F	F	F	F	F	F	F	F
ADRB1	ENSG00000043591	protein_coding	F	T	F	T	Adrb1	F	F	F	F	F	F	F	F	F	F	F	F	F
GUCA2B	ENSG00000044012	protein_coding	F	T	F	F	Guca2b	F	F	T	F	T	F	F	F	F	F	F	F	F
CNTLN	ENSG00000044459	protein_coding	F	F	F	F	Cntln	F	F	T	F	F	F	F	F	F	F	F	F	F
EPHA3	ENSG00000044524	protein_coding	F	F	F	F	Epha3	T	F	F	F	F	F	F	F	F	F	F	F	F
HSPA5	ENSG00000044574	protein_coding	F	T	T	T	Hspa5	F	F	T	F	T	F	T	F	F	F	F	F	T
DSG2	ENSG00000046604	protein_coding	F	F	T	F	Dsg2	F	F	F	F	T	F	T	F	F	F	F	F	F
MAGEC2	ENSG00000046774	protein_coding	F	F	F	F		F	F	F	F	F	F	F	F	F	F	F	F	F
XK	ENSG00000047597	protein_coding	F	F	F	F	Xk	F	F	F	F	F	F	F	F	F	F	F	F	F
ANO2	ENSG00000047617	protein_coding	F	F	F	F	Ano2	F	F	T	F	F	F	F	F	F	F	F	F	F
FAM184B	ENSG00000047662	protein_coding	F	F	F	F	Fam184b	F	F	F	F	F	F	F	F	F	F	F	F	F
GOPC	ENSG00000047932	protein_coding	F	F	F	T	Gopc	F	F	T	F	T	F	F	F	F	F	F	F	F
ROS1	ENSG00000047936	protein_coding	F	F	F	F	Ros1	F	F	F	F	T	F	F	F	F	T	F	F	F
ZNF800	ENSG00000048405	protein_coding	F	F	F	F	Zfp800	F	F	F	F	F	F	F	F	F	F	F	F	F
TNFRSF17	ENSG00000048462	protein_coding	F	F	T	T	Tnfrsf17	F	F	F	F	F	F	F	F	F	F	F	F	F
MRPS10	ENSG00000048544	protein_coding	F	F	T	F	Mrps10	F	F	F	F	T	F	F	F	F	F	F	F	F
GUCA1A	ENSG00000048545	protein_coding	F	F	F	F	Guca1a	F	F	F	F	T	F	F	F	F	F	F	F	F
R3HDM1	ENSG00000048991	protein_coding	F	F	F	F	R3hdm1	F	F	T	F	F	F	F	F	T	F	F	F	F
UTS2	ENSG00000049247	protein_coding	F	F	F	F	Uts2	F	F	F	F	F	F	F	F	F	F	F	F	F
NEXMIF	ENSG00000050030	protein_coding	F	F	F	F	Nexmif	F	F	F	F	F	F	F	F	F	F	F	F	F
ARHGEF5	ENSG00000050327	protein_coding	F	F	F	F	Arhgef5	F	F	F	F	T	F	F	F	F	F	F	F	F
RRP12	ENSG00000052749	protein_coding	F	F	T	F	Rrp12	F	F	T	F	F	F	F	F	F	F	F	F	F
MSMO1	ENSG00000052802	protein_coding	F	F	F	F	Msmo1	F	F	F	F	F	F	F	F	F	F	F	F	F
ALX4	ENSG00000052850	protein_coding	F	F	F	T	Alx4	F	F	F	F	F	F	F	F	F	F	F	F	F
NNAT	ENSG00000053438	protein_coding	F	F	F	T		T	F	F	F	F	F	F	F	F	F	F	F	F
NRIP2	ENSG00000053702	protein_coding	F	F	F	F	Nrip2	F	F	F	F	T	F	F	F	F	F	F	F	F
SDCCAG8	ENSG00000054282	protein_coding	F	F	F	F	Sdccag8	F	F	T	F	F	F	F	F	F	F	F	F	F
HHAT	ENSG00000054392	protein_coding	F	F	F	T	Hhat	F	F	F	F	F	F	F	F	F	F	F	F	F
FOXC1	ENSG00000054598	protein_coding	T	F	F	T	Foxc1	T	F	F	F	F	F	F	F	F	F	F	F	F
CBLN4	ENSG00000054803	protein_coding	F	F	F	F	Cbln4	F	F	F	F	F	F	F	F	F	F	F	F	F
GINM1	ENSG00000055211	protein_coding	F	F	F	F	Ginm1	F	F	T	F	F	F	T	F	F	F	F	F	F
CCDC85A	ENSG00000055813	protein_coding	F	F	F	F	Ccdc85a	F	F	F	F	F	F	F	F	F	F	F	F	F
ZNF280C	ENSG00000056277	protein_coding	F	F	F	F	Zfp280c	F	F	F	F	F	F	F	F	F	F	F	F	F
TRAF1	ENSG00000056558	protein_coding	F	F	F	F	Traf1	F	T	T	F	F	F	F	F	F	F	F	F	F
SERPINB3	ENSG00000057149	protein_coding	F	F	F	F	Serpinb3c	F	F	F	F	F	F	F	F	F	F	F	F	F
SOAT1	ENSG00000057252	protein_coding	F	F	F	T	Soat1	F	F	F	F	F	F	F	F	F	F	F	F	F
MSH4	ENSG00000057468	protein_coding	F	F	T	T	Msh4	F	F	F	F	F	F	F	F	F	F	F	F	F
PITHD1	ENSG00000057757	protein_coding	F	F	F	F	Pithd1	F	F	T	F	T	F	F	F	F	F	F	F	F
STYK1	ENSG00000060140	protein_coding	F	F	F	F	Styk1	F	F	F	F	T	F	F	F	F	T	F	F	F
OGFR	ENSG00000060491	protein_coding	F	F	T	F	Ogfr	F	F	T	F	T	F	F	F	F	F	F	F	F
PTPRU	ENSG00000060656	protein_coding	F	F	F	T	Ptpru	F	F	F	F	T	F	F	F	F	F	F	F	F
LZTS1	ENSG00000061337	protein_coding	F	F	F	T	Lzts1	T	F	F	F	F	F	F	F	F	F	F	F	F
GUCY1B3	ENSG00000061918	protein_coding	F	F	F	F		F	F	F	F	F	F	F	F	F	F	F	F	F
ARSF	ENSG00000062096	protein_coding	F	F	F	F		F	F	F	F	F	F	F	F	F	F	F	F	F
MED29	ENSG00000063322	protein_coding	F	F	T	F	Med29	F	F	F	F	F	F	F	F	F	F	F	F	F
GSC2	ENSG00000063515	protein_coding	F	T	F	F	Gsc2	F	F	F	F	T	F	F	F	F	F	F	F	F
DLX3	ENSG00000064195	protein_coding	F	F	F	T	Dlx3	F	F	F	F	F	F	F	F	F	F	F	F	F
DMRT3	ENSG00000064218	protein_coding	F	F	F	T	Dmrt3	F	F	F	F	F	F	F	F	F	F	F	F	F
NGFR	ENSG00000064300	protein_coding	F	T	F	T	Ngfr	T	F	F	F	F	F	F	F	F	F	F	F	F
HIPK2	ENSG00000064393	protein_coding	T	F	F	T	Hipk2	T	F	F	F	F	F	F	F	F	F	F	F	F
TNPO3	ENSG00000064419	protein_coding	F	F	T	F	Tnpo3	F	F	T	F	T	T	T	F	F	F	F	T	F
BCAS1	ENSG00000064787	protein_coding	F	F	F	F	Bcas1	F	F	F	F	F	F	F	F	F	F	F	F	F
POU1F1	ENSG00000064835	protein_coding	T	T	F	T	Pou1f1	F	F	T	F	F	F	F	F	F	F	F	F	F
TAF11	ENSG00000064995	protein_coding	F	T	T	F	Taf11	F	F	F	F	T	F	F	F	F	F	F	F	F
UHRF1BP1	ENSG00000065060	protein_coding	F	F	F	F	Uhrf1bp1	F	F	T	F	T	F	F	F	F	F	F	F	F
GNAI3	ENSG00000065135	protein_coding	T	F	F	F	Gnai3	F	F	T	T	T	F	T	F	F	T	F	F	F
WDR3	ENSG00000065183	protein_coding	F	T	T	F	Wdr3	F	F	F	F	F	F	F	F	F	F	F	F	F
TRAM2	ENSG00000065308	protein_coding	F	F	F	F	Tram2	F	F	F	F	F	F	F	F	F	F	F	F	F
NTN1	ENSG00000065320	protein_coding	F	F	F	T	Ntn1	F	F	T	F	F	F	F	F	F	F	F	F	F
TBC1D22B	ENSG00000065491	protein_coding	F	F	F	F	Tbc1d22b	F	F	T	F	F	F	F	F	F	F	F	F	F
PRKCQ	ENSG00000065675	protein_coding	T	F	F	T	Prkcq	F	F	T	F	F	F	F	F	F	F	F	F	F
ME1	ENSG00000065833	protein_coding	F	T	F	F	Me1	F	F	F	F	F	F	T	F	F	T	F	F	F
ASPM	ENSG00000066279	protein_coding	F	T	T	T	Aspm	F	F	F	F	F	F	F	F	F	F	F	F	F
SPI1	ENSG00000066336	protein_coding	T	T	T	T	Spi1	T	F	F	F	F	F	F	F	F	F	F	F	F
ATXN3	ENSG00000066427	protein_coding	F	F	F	F	Atxn3	F	F	T	F	F	T	F	F	F	F	F	F	F
LRRC40	ENSG00000066557	protein_coding	F	F	F	F	Lrrc40	F	F	F	F	T	F	T	F	F	F	F	F	F
ISOC1	ENSG00000066583	protein_coding	F	F	F	F	Isoc1	F	F	F	F	F	F	F	F	F	F	F	F	F
KIF26A	ENSG00000066735	protein_coding	F	F	F	T	Kif26a	F	F	F	F	F	F	F	F	F	F	F	F	F
MTFR1	ENSG00000066855	protein_coding	F	F	T	F	Mtfr1	F	F	T	F	F	F	T	F	F	F	F	F	F
KLF6	ENSG00000067082	protein_coding	T	F	F	T	Klf6	T	F	F	F	F	F	F	F	F	F	F	F	F
PHKA1	ENSG00000067177	protein_coding	F	F	F	F	Phka1	F	F	F	F	F	T	F	F	F	F	F	F	F
GPKOW	ENSG00000068394	protein_coding	F	F	T	F	Gpkow	F	F	F	F	F	F	F	F	F	F	F	F	F
FTSJ1	ENSG00000068438	protein_coding	F	F	T	F	Ftsj1	F	F	F	F	F	F	F	F	F	F	F	F	F
ERLEC1	ENSG00000068912	protein_coding	F	F	F	F	Erlec1	F	F	T	F	F	F	F	F	F	F	F	F	F
PAGE1	ENSG00000068985	protein_coding	F	F	F	F		F	F	F	F	F	F	F	F	F	F	F	F	F
ADAM7	ENSG00000069206	protein_coding	F	F	F	F	Adam7	F	F	F	F	F	F	F	F	F	F	F	F	F
BCL3	ENSG00000069399	protein_coding	T	F	F	T	Bcl3	F	F	F	F	T	F	F	F	F	F	F	F	F
ABCC9	ENSG00000069431	protein_coding	F	F	F	F	Abcc9	F	F	F	F	F	F	F	F	F	F	F	F	F
GAL	ENSG00000069482	protein_coding	F	F	F	T	Gal	F	F	F	F	T	F	F	F	F	F	F	F	F
CLEC2D	ENSG00000069493	protein_coding	F	F	F	F	Clec2d	F	F	F	F	F	F	F	F	F	F	F	F	F
MAPK6	ENSG00000069956	protein_coding	F	T	F	F	Mapk6	F	F	F	F	T	F	F	F	F	F	F	F	F
SCT	ENSG00000070031	protein_coding	F	T	F	F	Sct	F	F	F	F	F	F	F	F	F	F	F	F	F
PTPN3	ENSG00000070159	protein_coding	F	F	F	F	Ptpn3	F	F	F	F	T	F	T	F	F	T	F	F	F
FGF10	ENSG00000070193	protein_coding	F	F	F	T	Fgf10	F	F	F	F	T	F	F	F	T	F	F	F	F
FGF22	ENSG00000070388	protein_coding	F	F	F	T	Fgf22	F	F	F	F	T	F	F	F	F	F	F	F	F
FRMPD1	ENSG00000070601	protein_coding	F	F	T	F	Frmpd1	F	F	F	F	T	F	F	F	F	F	F	F	F
EPHA8	ENSG00000070886	protein_coding	F	F	F	F	Epha8	F	F	F	F	T	F	F	F	F	F	F	F	F
TRPM5	ENSG00000070985	protein_coding	F	F	F	F	Trpm5	F	F	T	F	T	F	F	F	F	F	F	F	F
NCK2	ENSG00000071051	protein_coding	F	F	F	T	Nck2	F	F	F	F	T	F	F	F	F	F	F	F	F
MS4A12	ENSG00000071203	protein_coding	F	F	F	F	Ms4a12	F	F	F	F	F	F	F	F	F	F	F	F	F
PRLH	ENSG00000071677	protein_coding	F	F	T	F	Prlh	F	F	F	F	F	F	F	F	F	F	F	F	F
TRPC5	ENSG00000072315	protein_coding	F	F	F	T	Trpc5	F	F	F	F	F	F	T	F	F	F	F	F	F
HSD17B10	ENSG00000072506	protein_coding	F	F	T	T	Hsd17b10	F	F	T	F	T	F	F	F	F	F	F	F	F
CRMP1	ENSG00000072832	protein_coding	F	T	F	T	Crmp1	F	F	F	F	F	F	F	F	F	F	F	F	F
TP63	ENSG00000073282	protein_coding	T	F	F	T	Trp63	T	F	F	F	F	F	F	F	F	F	F	F	F
CLCN4	ENSG00000073464	protein_coding	F	F	F	F	Clcn4	F	F	F	F	F	F	F	F	F	F	F	F	F
FNDC8	ENSG00000073598	protein_coding	F	F	T	F	Fndc8	F	F	F	F	F	F	F	F	F	F	F	F	F
DHRS9	ENSG00000073737	protein_coding	F	F	F	T	Dhrs9	F	F	F	F	F	F	F	F	F	F	F	F	F
NUAK1	ENSG00000074590	protein_coding	F	F	F	F	Nuak1	T	F	F	F	F	F	F	F	F	F	F	F	F
SLC24A1	ENSG00000074621	protein_coding	F	F	F	F	Slc24a1	F	F	T	F	F	F	F	F	F	T	F	F	F
NOX3	ENSG00000074771	protein_coding	F	F	F	T	Nox3	F	F	F	F	F	F	F	F	F	F	F	F	F
TACR2	ENSG00000075073	protein_coding	F	F	F	F	Tacr2	F	F	F	F	F	F	F	F	F	F	F	F	F
WNT8B	ENSG00000075290	protein_coding	F	F	F	T	Wnt8b	F	F	F	F	F	F	F	F	T	F	F	F	F
FOSL2	ENSG00000075426	protein_coding	T	F	F	F	Fosl2	F	F	F	F	T	F	F	F	F	F	F	F	F
CACNG5	ENSG00000075429	protein_coding	F	F	F	F	Cacng5	F	F	F	F	F	F	F	F	F	F	F	F	F
CACNG4	ENSG00000075461	protein_coding	F	F	T	F	Cacng4	F	F	F	F	F	F	F	F	F	F	F	F	F
ATP12A	ENSG00000075673	protein_coding	F	F	F	F	Atp12a	F	F	F	F	F	F	F	F	F	F	F	F	F
MKRN2	ENSG00000075975	protein_coding	F	F	F	F	Mkrn2	F	F	T	F	T	F	F	F	F	F	F	F	F
FMO4	ENSG00000076258	protein_coding	F	F	F	F	Fmo4	F	F	F	F	F	F	F	F	F	F	F	F	F
KLHL20	ENSG00000076321	protein_coding	F	F	F	F	Klhl20	F	F	T	F	F	F	F	F	F	F	F	F	F
GPC4	ENSG00000076716	protein_coding	F	F	F	F	Gpc4	F	F	F	F	F	F	T	F	F	F	F	F	F
PAK3	ENSG00000077264	protein_coding	F	F	F	T	Pak3	F	F	T	F	F	F	F	F	F	F	F	F	F
CAPN6	ENSG00000077274	protein_coding	F	T	F	F	Capn6	F	F	F	F	F	F	F	F	F	F	F	F	F
DCX	ENSG00000077279	protein_coding	F	F	F	T	Dcx	F	F	F	F	F	F	F	F	F	F	F	F	F
SMC1B	ENSG00000077935	protein_coding	F	F	F	F	Smc1b	F	F	T	F	T	F	F	F	F	F	F	F	F
CST7	ENSG00000077984	protein_coding	F	F	F	F	Cst7	F	F	F	F	F	F	F	F	F	F	F	F	F
TULP3	ENSG00000078246	protein_coding	F	F	F	T	Tulp3	F	F	F	F	T	F	F	F	F	F	F	F	F
EDN1	ENSG00000078401	protein_coding	F	T	F	T	Edn1	F	F	F	F	F	F	F	F	F	F	F	F	F
ZCWPW1	ENSG00000078487	protein_coding	F	F	T	F	Zcwpw1	F	F	F	F	T	F	F	F	F	F	F	F	F
ADCYAP1R1	ENSG00000078549	protein_coding	F	F	F	T	Adcyap1r1	F	F	F	F	F	F	F	F	F	F	F	F	F
FGF20	ENSG00000078579	protein_coding	F	F	F	T	Fgf20	F	F	F	F	F	F	F	F	F	F	F	F	F
P2RY10	ENSG00000078589	protein_coding	F	T	F	F	P2ry10	F	F	F	F	F	F	F	F	F	F	F	F	F
CBFA2T2	ENSG00000078699	protein_coding	F	F	F	T	Cbfa2t2	F	F	T	F	F	F	T	F	F	T	F	F	F
BRINP1	ENSG00000078725	protein_coding	F	F	F	F	Brinp1	T	F	F	F	F	F	F	F	F	F	F	F	F
TP53INP2	ENSG00000078804	protein_coding	F	F	F	F	Trp53inp2	F	F	F	F	F	F	F	F	F	F	F	F	F
BPIFB2	ENSG00000078898	protein_coding	F	F	F	F	Bpifb2	F	F	F	F	F	F	F	F	F	F	F	F	F
LXN	ENSG00000079257	protein_coding	F	T	F	F	Lxn	T	F	F	F	F	F	F	F	F	F	F	F	F
SCGN	ENSG00000079689	protein_coding	F	F	F	F	Scgn	F	F	F	F	F	F	F	F	T	F	F	F	F
RFX3	ENSG00000080298	protein_coding	T	F	F	T	Rfx3	F	F	T	F	F	F	F	F	T	F	F	F	F
PIH1D3	ENSG00000080572	protein_coding	F	F	F	F	Pih1d3	F	F	F	F	F	F	F	F	F	F	F	F	F
CPB2	ENSG00000080618	protein_coding	F	F	F	F	Cpb2	F	F	T	F	F	F	F	F	F	F	F	F	F
COL4A4	ENSG00000081052	protein_coding	F	T	F	T	Col4a4	F	F	F	F	F	F	F	F	F	F	F	F	F
IMPG2	ENSG00000081148	protein_coding	F	F	F	F	Impg2	F	F	F	F	F	F	F	F	F	F	F	F	F
CACNA1S	ENSG00000081248	protein_coding	F	F	F	T	Cacna1s	F	F	F	F	F	F	F	F	F	F	F	F	F
STK17B	ENSG00000081320	protein_coding	F	F	F	F	Stk17b	F	F	T	F	F	F	F	F	F	F	F	F	F
JMJD4	ENSG00000081692	protein_coding	F	F	F	F	Jmjd4	F	F	F	F	F	F	F	F	F	F	F	F	F
PCDHA6	ENSG00000081842	protein_coding	F	F	F	T	Pcdha6	F	F	F	F	F	F	F	F	F	F	F	F	F
PCDHGA2	ENSG00000081853	protein_coding	F	F	F	F	Pcdhga2	F	F	F	F	F	F	F	F	T	F	F	F	F
KCNK2	ENSG00000082482	protein_coding	F	F	F	F	Kcnk2	F	F	F	F	F	F	F	F	F	F	F	F	F
TRAF5	ENSG00000082512	protein_coding	F	F	F	F	Traf5	F	F	F	F	F	F	F	F	F	F	F	F	F
LYRM2	ENSG00000083099	protein_coding	F	F	F	F	Lyrm2	F	F	F	F	F	F	F	F	F	F	F	F	F
